model_id,topology,intervention,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
qwen3_8b,hierarchical,target_context,retention_target,15,0.52,0.4828486896977739,0.12467099559583673,0.8,0.0,1.0,0.0,1.0,0.27564484863216,0.76435515136784
qwen3_8b,hierarchical,target_context,drr_system,15,0.3466666666666667,0.45648762566027173,0.11786459812879986,0.0,0.0,0.9,0.0,1.0,0.11565205433421896,0.5776812789991144
qwen3_8b,hierarchical,target_context,irr_system,13,0.24615384615384617,0.4332347027793453,0.12015768732164082,0.0,0.0,0.2,0.0,1.0,0.010644779003430166,0.48166291330426214
qwen3_8b,hierarchical,target_context,retention_system,15,0.30666666666666664,0.4589843860815602,0.1185092588975412,0.0,0.0,0.8,0.0,1.0,0.0743885192274859,0.5389448141058474
qwen3_8b,hierarchical,target_context,n_scored_probes,15,14.333333333333334,1.7593288763724917,0.4542567625794978,15.0,15.0,15.0,10.0,15.0,13.442990078677518,15.22367658798915
qwen3_8b,hierarchical,target_context_comm,drr_target,15,0.16,0.29471535904520285,0.07609517849690733,0.0,0.0,0.2,0.0,1.0,0.010853450146061622,0.3091465498539384
qwen3_8b,hierarchical,target_context_comm,irr_target,13,0.07692307692307693,0.19215378456610452,0.05329387100211929,0.0,0.0,0.0,0.0,0.6,-0.027532910241076874,0.18137906408723073
qwen3_8b,hierarchical,target_context_comm,retention_target,15,0.52,0.4828486896977739,0.12467099559583673,0.8,0.0,1.0,0.0,1.0,0.27564484863216,0.76435515136784
qwen3_8b,hierarchical,target_context_comm,drr_system,15,0.3466666666666667,0.45648762566027173,0.11786459812879986,0.0,0.0,0.9,0.0,1.0,0.11565205433421896,0.5776812789991144
qwen3_8b,hierarchical,target_context_comm,irr_system,13,0.24615384615384617,0.4332347027793453,0.12015768732164082,0.0,0.0,0.2,0.0,1.0,0.010644779003430166,0.48166291330426214
qwen3_8b,hierarchical,target_context_comm,retention_system,15,0.30666666666666664,0.4589843860815602,0.1185092588975412,0.0,0.0,0.8,0.0,1.0,0.0743885192274859,0.5389448141058474
qwen3_8b,hierarchical,target_context_comm,n_scored_probes,15,14.333333333333334,1.7593288763724917,0.4542567625794978,15.0,15.0,15.0,10.0,15.0,13.442990078677518,15.22367658798915
qwen3_8b,hierarchical,target_context_memory,drr_target,65,0.03384615384615385,0.16419969080829128,0.020366465069036502,0.0,0.0,0.0,0.0,1.0,-0.006072117689157691,0.0737644253814654
qwen3_8b,hierarchical,target_context_memory,irr_target,53,0.045283018867924525,0.12795136957190634,0.017575472282404185,0.0,0.0,0.0,0.0,0.6,0.010835093194412324,0.07973094454143673
qwen3_8b,hierarchical,target_context_memory,retention_target,65,0.5292307692307693,0.47359102772166356,0.05874173742728701,0.8,0.0,1.0,0.0,1.0,0.41409696387328676,0.6443645745882518
qwen3_8b,hierarchical,target_context_memory,drr_system,65,0.5415384615384616,0.4895445292859948,0.060720525759587356,1.0,0.0,1.0,0.0,1.0,0.4225262310496704,0.6605506920272528
qwen3_8b,hierarchical,target_context_memory,irr_system,53,0.6264150943396227,0.48522435072552794,0.06665069045729499,1.0,0.0,1.0,0.0,1.0,0.49577974104332456,0.7570504476359209
qwen3_8b,hierarchical,target_context_memory,retention_system,65,0.5323076923076924,0.4990953354281663,0.06190515746454458,1.0,0.0,1.0,0.0,1.0,0.410973583677185,0.6536418009381998
qwen3_8b,hierarchical,target_context_memory,n_scored_probes,65,14.076923076923077,1.9550231161332556,0.24249077332535565,15.0,15.0,15.0,10.0,15.0,13.601641161205379,14.552204992640775
qwen3_8b,hierarchical,target_memory,drr_target,15,0.41333333333333333,0.4983783225431785,0.12868072955470125,0.0,0.0,1.0,0.0,1.0,0.1611191034061189,0.6655475632605478
qwen3_8b,hierarchical,target_memory,irr_target,13,0.23076923076923078,0.4385290096535146,0.12162606385262997,0.0,0.0,0.0,0.0,1.0,-0.007617854381923972,0.46915631592038554
qwen3_8b,hierarchical,target_memory,retention_target,15,0.4933333333333333,0.4891197146283262,0.12629016727048212,0.6,0.0,1.0,0.0,1.0,0.24580460548318833,0.7408620611834782
qwen3_8b,hierarchical,target_memory,drr_system,15,0.3466666666666667,0.48087222340045305,0.1241606741922458,0.0,0.0,1.0,0.0,1.0,0.10331174524986492,0.5900215880834685
qwen3_8b,hierarchical,target_memory,irr_system,13,0.24615384615384617,0.4332347027793453,0.12015768732164082,0.0,0.0,0.2,0.0,1.0,0.010644779003430166,0.48166291330426214
qwen3_8b,hierarchical,target_memory,retention_system,15,0.30666666666666664,0.4589843860815602,0.1185092588975412,0.0,0.0,0.8,0.0,1.0,0.0743885192274859,0.5389448141058474
qwen3_8b,hierarchical,target_memory,n_scored_probes,15,14.333333333333334,1.7593288763724917,0.4542567625794978,15.0,15.0,15.0,10.0,15.0,13.442990078677518,15.22367658798915
qwen3_8b,hierarchical,target_memory_comm,drr_target,15,0.41333333333333333,0.4983783225431785,0.12868072955470125,0.0,0.0,1.0,0.0,1.0,0.1611191034061189,0.6655475632605478
qwen3_8b,hierarchical,target_memory_comm,irr_target,13,0.23076923076923078,0.4385290096535146,0.12162606385262997,0.0,0.0,0.0,0.0,1.0,-0.007617854381923972,0.46915631592038554
qwen3_8b,hierarchical,target_memory_comm,retention_target,15,0.4933333333333333,0.4891197146283262,0.12629016727048212,0.6,0.0,1.0,0.0,1.0,0.24580460548318833,0.7408620611834782
qwen3_8b,hierarchical,target_memory_comm,drr_system,15,0.3466666666666667,0.48087222340045305,0.1241606741922458,0.0,0.0,1.0,0.0,1.0,0.10331174524986492,0.5900215880834685
qwen3_8b,hierarchical,target_memory_comm,irr_system,13,0.24615384615384617,0.4332347027793453,0.12015768732164082,0.0,0.0,0.2,0.0,1.0,0.010644779003430166,0.48166291330426214
qwen3_8b,hierarchical,target_memory_comm,retention_system,15,0.30666666666666664,0.4589843860815602,0.1185092588975412,0.0,0.0,0.8,0.0,1.0,0.0743885192274859,0.5389448141058474
qwen3_8b,hierarchical,target_memory_comm,n_scored_probes,15,14.333333333333334,1.7593288763724917,0.4542567625794978,15.0,15.0,15.0,10.0,15.0,13.442990078677518,15.22367658798915
qwen3_8b,independent,communication,drr_target,15,0.5066666666666667,0.4712698145385911,0.12168134288521476,0.4,0.0,1.0,0.0,1.0,0.26817123461164577,0.7451620987216876
qwen3_8b,independent,communication,irr_target,13,0.26153846153846155,0.43500663124919053,0.12064913185660095,0.0,0.0,0.4,0.0,1.0,0.025066163099523697,0.4980107599773994
qwen3_8b,independent,communication,retention_target,15,0.56,0.496847202726495,0.1282853961179637,1.0,0.0,1.0,0.0,1.0,0.3085606236087912,0.8114393763912089
qwen3_8b,independent,communication,drr_system,15,0.5066666666666667,0.4712698145385911,0.12168134288521476,0.4,0.0,1.0,0.0,1.0,0.26817123461164577,0.7451620987216876
qwen3_8b,independent,communication,irr_system,13,0.26153846153846155,0.43500663124919053,0.12064913185660095,0.0,0.0,0.4,0.0,1.0,0.025066163099523697,0.4980107599773994
