intervention,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
target_context_comm,retention_target,285,0.4547368421052632,0.44573923905852336,0.026403313802950808,0.4,0.0,1.0,0.0,1.0,0.4029863470514796,0.5064873371590468
target_context_comm,drr_system,285,0.37333333333333335,0.4432487829290399,0.02625579191361003,0.0,0.0,1.0,0.0,1.0,0.3218719811826577,0.424794685484009
target_context_comm,irr_system,243,0.31604938271604943,0.4297193366548356,0.027566508299295193,0.0,0.0,0.8,0.0,1.0,0.26201902644943087,0.370079738982668
target_context_comm,retention_system,285,0.4252631578947368,0.45151585556658,0.02674549103353001,0.2,0.0,1.0,0.0,1.0,0.372841995469018,0.4776843203204556
target_context_comm,n_scored_probes,285,14.263157894736842,1.7754816425436895,0.10517045584426243,15.0,15.0,15.0,10.0,15.0,14.057023801282089,14.469291988191596
target_context_memory,drr_target,832,0.27884615384615385,0.4088487142310592,0.014174278875650072,0.0,0.0,0.6,0.0,1.0,0.2510645672498797,0.306627740442428
target_context_memory,irr_target,685,0.301021897810219,0.411048588979747,0.015705359283450016,0.0,0.0,0.6,0.0,1.0,0.27023939361465693,0.33180440200578104
target_context_memory,retention_target,820,0.5304878048780488,0.450745962741787,0.01574073180373448,0.6,0.0,1.0,0.0,1.0,0.49963597054272924,0.5613396392133684
target_context_memory,drr_system,832,0.3526442307692308,0.44034526259696,0.015266225223086485,0.0,0.0,1.0,0.0,1.0,0.3227224293319813,0.3825660322064803
target_context_memory,irr_system,685,0.35854014598540146,0.43946827944060035,0.016791219839546297,0.0,0.0,1.0,0.0,1.0,0.3256293550998907,0.3914509368709122
target_context_memory,retention_system,820,0.49658536585365853,0.4718581446779203,0.016478001177434216,0.4,0.0,1.0,0.0,1.0,0.4642884835458875,0.5288822481614296
target_context_memory,n_scored_probes,832,14.044471153846153,2.1427274833162886,0.07428570971579604,15.0,15.0,15.0,5.0,15.0,13.898871162803193,14.190071144889114
target_memory,drr_target,225,0.40533333333333343,0.45234310618631707,0.030156207079087803,0.2,0.0,1.0,0.0,1.0,0.3462271674583213,0.46443949920834554
target_memory,irr_target,195,0.26358974358974363,0.4016171381645207,0.02876040063087633,0.0,0.0,0.4,0.0,1.0,0.20721935835322602,0.31996012882626124
target_memory,retention_target,225,0.3813333333333333,0.44179827329417476,0.02945321821961165,0.2,0.0,1.0,0.0,1.0,0.32360502562289445,0.43906164104377216
target_memory,drr_system,225,0.40533333333333343,0.4499682528483855,0.0299978835232257,0.2,0.0,1.0,0.0,1.0,0.34653748162781106,0.4641291850388558
target_memory,irr_system,195,0.26153846153846155,0.3910172990447611,0.02800133038526784,0.0,0.0,0.4,0.0,1.0,0.20665585398333658,0.3164210690935865
target_memory,retention_system,225,0.3511111111111111,0.4345678386042924,0.028971189240286157,0.0,0.0,1.0,0.0,1.0,0.2943275802001502,0.407894642022072
target_memory,n_scored_probes,225,14.333333333333334,1.703462859673117,0.11356419064487447,15.0,15.0,15.0,10.0,15.0,14.11074751966938,14.555919146997288
target_memory_comm,drr_target,225,0.392,0.44694199048326494,0.02979613269888433,0.2,0.0,1.0,0.0,1.0,0.33359957991018674,0.4504004200898133
target_memory_comm,irr_target,195,0.2564102564102564,0.40192505314781274,0.028782450880823828,0.0,0.0,0.4,0.0,1.0,0.1999966526838417,0.3128238601366711
target_memory_comm,retention_target,225,0.3875555555555555,0.4442346727175227,0.029615644847834847,0.0,0.0,1.0,0.0,1.0,0.3295088916537992,0.44560221945731177
target_memory_comm,drr_system,225,0.40622222222222226,0.4521342685811338,0.030142284572075587,0.2,0.0,1.0,0.0,1.0,0.34714334446095413,0.4653010999834904
target_memory_comm,irr_system,195,0.25948717948717953,0.3950071689154274,0.02828705090125443,0.0,0.0,0.4,0.0,1.0,0.20404455972072086,0.31492979925363823
target_memory_comm,retention_system,225,0.3528888888888889,0.4339427948547471,0.028929519656983142,0.0,0.0,1.0,0.0,1.0,0.296187030361202,0.40959074741657586
target_memory_comm,n_scored_probes,225,14.333333333333334,1.703462859673117,0.11356419064487447,15.0,15.0,15.0,10.0,15.0,14.11074751966938,14.555919146997288
