block,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
ablation_n_agents,irr_target,72,0.4083333333333333,0.4496477494567824,0.0529914954643601,0.1,0.0,1.0,0.0,1.0,0.30447000222318754,0.5121966644434791
ablation_n_agents,retention_target,90,0.5333333333333333,0.4605809716658669,0.048549497246587206,0.6,0.0,1.0,0.0,1.0,0.4381763187300224,0.6284903479366443
ablation_n_agents,drr_system,90,0.26666666666666666,0.4110824297448674,0.04333189280233105,0.0,0.0,0.6,0.0,1.0,0.1817361567740978,0.3515971765592355
ablation_n_agents,irr_system,72,0.46388888888888885,0.46248123085038695,0.05450393575096829,0.5,0.0,1.0,0.0,1.0,0.357061174816991,0.5707166029607867
ablation_n_agents,retention_system,90,0.5333333333333333,0.4683223704849355,0.04936551233138702,0.6,0.0,1.0,0.0,1.0,0.43657692916381474,0.6300897375028519
ablation_n_agents,n_scored_probes,90,14.0,2.011204569461973,0.211999576001272,15.0,15.0,15.0,10.0,15.0,13.584480831037506,14.415519168962494
ablation_peer_evidence,drr_target,90,0.07777777777777778,0.2520824627774611,0.026571824685379743,0.0,0.0,0.0,0.0,1.0,0.025697001394433483,0.12985855416112208
ablation_peer_evidence,irr_target,72,0.175,0.3338845208143627,0.03934866813350948,0.0,0.0,0.0,0.0,1.0,0.09787661045832141,0.25212338954167857
ablation_peer_evidence,retention_target,90,0.5688888888888889,0.4565735709804639,0.0481270801244941,0.8,0.0,1.0,0.0,1.0,0.47455981184488044,0.6632179659328973
ablation_peer_evidence,drr_system,90,0.14444444444444443,0.32846634124113777,0.03462339243413645,0.0,0.0,0.0,0.0,1.0,0.07658259527353699,0.21230629361535186
ablation_peer_evidence,irr_system,72,0.18055555555555555,0.33425927732187677,0.039392833611468975,0.0,0.0,0.05,0.0,1.0,0.10334560167707636,0.25776550943403476
ablation_peer_evidence,retention_system,90,0.5822222222222222,0.47370824420123797,0.04993323326917207,1.0,0.0,1.0,0.0,1.0,0.4843530850146449,0.6800913594297995
ablation_peer_evidence,n_scored_probes,90,14.0,2.011204569461973,0.211999576001272,15.0,15.0,15.0,10.0,15.0,13.584480831037506,14.415519168962494
ablation_target_position,drr_target,30,0.18666666666666665,0.3821295441414432,0.06976699040514484,0.0,0.0,0.0,0.0,1.0,0.049923365472582776,0.3234099678607505
ablation_target_position,irr_target,24,0.45,0.47273487376072143,0.09649660202773232,0.3,0.0,1.0,0.0,1.0,0.2608666600256447,0.6391333399743553
ablation_target_position,retention_target,30,0.5866666666666667,0.4897102122214963,0.08940844329145187,1.0,0.0,1.0,0.0,1.0,0.41142611781542104,0.7619072155179123
ablation_target_position,drr_system,30,0.4466666666666666,0.47758973400083515,0.08719555684838314,0.2,0.0,1.0,0.0,1.0,0.27576337524383565,0.6175699580894976
ablation_target_position,irr_system,24,0.6416666666666667,0.43330546175695245,0.0884481070054653,0.8,0.0,1.0,0.0,1.0,0.46830837693595473,0.8150249563973787
ablation_target_position,retention_system,30,0.5866666666666667,0.4897102122214963,0.08940844329145187,1.0,0.0,1.0,0.0,1.0,0.41142611781542104,0.7619072155179123
ablation_target_position,n_scored_probes,30,14.0,2.034190510862431,0.3713906763541037,15.0,15.0,15.0,10.0,15.0,13.272074274345957,14.727925725654043
coder_scale,drr_target,405,0.23308641975308644,0.3897087068266586,0.019364781330843222,0.0,0.0,0.4,0.0,1.0,0.19513144834463372,0.27104139116153914
coder_scale,irr_target,351,0.19715099715099713,0.3623618988058012,0.019341447288359587,0.0,0.0,0.2,0.0,1.0,0.15924176046581234,0.2350602338361819
coder_scale,retention_target,405,0.5071604938271604,0.44795805852532145,0.02225921488736551,0.4,0.0,1.0,0.0,1.0,0.46353243264792404,0.5507885550063969
coder_scale,drr_system,405,0.28,0.41592078453703296,0.020667269943996647,0.0,0.0,0.6,0.0,1.0,0.2394921509097666,0.32050784909023344
coder_scale,irr_system,351,0.2358974358974359,0.38152959932990144,0.020364543454230576,0.0,0.0,0.4,0.0,1.0,0.19598293072714396,0.27581194106772783
coder_scale,retention_system,405,0.4064197530864198,0.452996919978315,0.022509597925989885,0.2,0.0,1.0,0.0,1.0,0.36230094115147965,0.45053856502135997
coder_scale,n_scored_probes,405,14.333333333333334,1.7017754270056893,0.08456190082718783,15.0,15.0,15.0,10.0,15.0,14.167592007712045,14.499074658954623
large_scale,drr_target,225,0.41244444444444445,0.4498271272883,0.02998847515255333,0.2,0.0,1.0,0.0,1.0,0.3536670331454399,0.471221855743449
large_scale,irr_target,195,0.275897435897436,0.4101591214276463,0.02937210475772834,0.0,0.0,0.5,0.0,1.0,0.21832811057228843,0.3334667612225835
large_scale,retention_target,225,0.5920000000000001,0.4405029592895571,0.02936686395263714,0.8,0.0,1.0,0.0,1.0,0.5344409466528313,0.6495590533471689
large_scale,drr_system,225,0.4364444444444444,0.4526763446612525,0.030178422977416835,0.2,0.0,1.0,0.0,1.0,0.3772947354087074,0.49559415348018143
large_scale,irr_system,195,0.30256410256410254,0.4227348243218465,0.03027266954713209,0.0,0.0,0.8,0.0,1.0,0.24322967025172365,0.36189853487648144
large_scale,retention_system,225,0.5146666666666667,0.4584601556141103,0.03056401037427402,0.6,0.0,1.0,0.0,1.0,0.45476120633308964,0.5745721270002437
large_scale,n_scored_probes,225,14.333333333333334,1.7034628596731172,0.11356419064487448,15.0,15.0,15.0,10.0,15.0,14.11074751966938,14.555919146997288
main,drr_target,2025,0.2617283950617284,0.4010386407962474,0.008911969795472164,0.0,0.0,0.4,0.0,1.0,0.24426093426260295,0.2791958558608538
main,irr_target,1755,0.20296296296296298,0.3550455610127588,0.008475113573430384,0.0,0.0,0.2,0.0,1.0,0.18635174035903943,0.21957418556688654
main,retention_target,2025,0.409283950617284,0.4371493296655876,0.00971442954812417,0.2,0.0,1.0,0.0,1.0,0.3902436687029606,0.4283242325316074
main,drr_system,2025,0.33066666666666666,0.4289116661869951,0.009531370359711003,0.0,0.0,1.0,0.0,1.0,0.3119851807616331,0.3493481525717002
main,irr_system,1755,0.22757834757834758,0.37506761684367473,0.008953049973075947,0.0,0.0,0.2,0.0,1.0,0.2100303696311187,0.24512632552557645
main,retention_system,2025,0.37135802469135804,0.43225827478786155,0.009605739439730256,0.2,0.0,1.0,0.0,1.0,0.35253077538948674,0.39018527399322933
main,n_scored_probes,2025,14.333333333333334,1.700092999083755,0.03777984442408344,15.0,15.0,15.0,10.0,15.0,14.259284838262131,14.407381828404537
parameter_unlearning,drr_target,200,0.619,0.46185011382286234,0.03265773473759248,1.0,0.0,1.0,0.0,1.0,0.5549908399143187,0.6830091600856812
parameter_unlearning,irr_target,160,0.7212500000000001,0.4315231907452291,0.03411490364845541,1.0,0.30000000000000004,1.0,0.0,1.0,0.6543847888490275,0.7881152111509726
parameter_unlearning,retention_target,200,0.608,0.44916002005754085,0.03176040960205728,1.0,0.0,1.0,0.0,1.0,0.5457495971799677,0.6702504028200322
parameter_unlearning,drr_system,200,0.645,0.45343468666984105,0.0320626741769442,1.0,0.0,1.0,0.0,1.0,0.5821571586131894,0.7078428413868106
parameter_unlearning,irr_system,160,0.70125,0.43204756027504965,0.03415635869970102,1.0,0.30000000000000004,1.0,0.0,1.0,0.6343035369485861,0.768196463051414
parameter_unlearning,retention_system,200,0.6240000000000001,0.441359252706623,0.03120881205282802,1.0,0.15000000000000002,1.0,0.0,1.0,0.5628307283764572,0.685169271623543
parameter_unlearning,n_scored_probes,200,14.0,2.005018828468342,0.1417762410016672,15.0,15.0,15.0,10.0,15.0,13.722118567636732,14.277881432363268
stochastic_robustness,drr_target,500,0.166,0.3316987309233974,0.014834018207902564,0.0,0.0,0.2,0.0,1.0,0.13692532431251098,0.19507467568748904
stochastic_robustness,irr_target,400,0.342,0.42436566253509145,0.021218283126754573,0.0,0.0,0.8,0.0,1.0,0.30041216507156104,0.383587834928439
stochastic_robustness,retention_target,500,0.5724000000000001,0.4601540214394456,0.02057871344116992,0.8,0.0,1.0,0.0,1.0,0.5320657216553071,0.6127342783446932
stochastic_robustness,drr_system,500,0.454,0.46972895437812046,0.021006917459787496,0.2,0.0,1.0,0.0,1.0,0.4128264417788165,0.49517355822118353
stochastic_robustness,irr_system,400,0.5695,0.451752088954425,0.02258760444772125,0.8,0.0,1.0,0.0,1.0,0.5252282952824664,0.6137717047175336
stochastic_robustness,retention_system,500,0.5912000000000001,0.48488430122158244,0.021684685175078853,1.0,0.0,1.0,0.0,1.0,0.5486980170568455,0.6337019829431546
