run_id,block,model_id,benchmark,unit_id,topology,intervention,parameter_method,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes,target_id,target_name,n_agents,chain_length,target_agent_position,debate_rounds,peer_evidence,comm_threshold,temperature,seed,status,raw_complete
AU003038,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,sequential,parameter_only,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003039,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,sequential,parameter_plus_comm,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003040,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,debate,parameter_only,lora_grad_diff,1.0,1.0,0.2,1.0,1.0,0.2,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003041,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,debate,parameter_plus_comm,lora_grad_diff,1.0,1.0,0.2,1.0,1.0,0.2,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003042,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,scratchpad,parameter_only,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003043,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,scratchpad,parameter_plus_comm,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003044,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,hierarchical,parameter_only,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003045,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,hierarchical,parameter_plus_comm,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003046,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,independent,parameter_only,gradient_ascent,0.0,,0.0,0.0,,0.0,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003047,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,independent,parameter_plus_comm,gradient_ascent,0.0,,0.0,0.0,,0.0,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003048,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,sequential,parameter_only,gradient_ascent,0.0,,0.0,0.0,,0.2,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003049,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,sequential,parameter_plus_comm,gradient_ascent,0.0,,0.0,0.0,,0.2,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003050,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,debate,parameter_only,gradient_ascent,0.0,,0.2,0.0,,0.2,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003051,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,debate,parameter_plus_comm,gradient_ascent,0.0,,0.2,0.0,,0.2,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003052,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,scratchpad,parameter_only,gradient_ascent,0.0,,0.0,0.0,,0.8,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003053,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,scratchpad,parameter_plus_comm,gradient_ascent,0.0,,0.0,0.0,,0.8,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003054,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,hierarchical,parameter_only,gradient_ascent,0.0,,0.0,0.0,,0.2,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003055,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,hierarchical,parameter_plus_comm,gradient_ascent,0.0,,0.0,0.0,,0.2,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003056,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,independent,parameter_only,lora_grad_diff,0.0,,0.4,0.0,,0.4,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003057,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,independent,parameter_plus_comm,lora_grad_diff,0.0,,0.4,0.0,,0.4,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003058,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,sequential,parameter_only,lora_grad_diff,0.0,,0.4,0.0,,0.4,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003059,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,sequential,parameter_plus_comm,lora_grad_diff,0.0,,0.4,0.0,,0.4,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003060,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,debate,parameter_only,lora_grad_diff,0.0,,0.6,0.0,,0.6,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003061,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,debate,parameter_plus_comm,lora_grad_diff,0.0,,0.6,0.0,,0.6,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003062,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,scratchpad,parameter_only,lora_grad_diff,0.0,,0.4,0.0,,0.8,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003063,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,scratchpad,parameter_plus_comm,lora_grad_diff,0.0,,0.4,0.0,,0.8,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003064,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,hierarchical,parameter_only,lora_grad_diff,0.0,,0.4,0.0,,0.4,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003065,parameter_unlearning,qwen3_4b,MUSE-News,muse_news,hierarchical,parameter_plus_comm,lora_grad_diff,0.0,,0.4,0.0,,0.4,10,news,MUSE News,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003066,parameter_unlearning,qwen3_4b,RWKU,rwku_001,independent,parameter_only,gradient_ascent,0.2,0.0,0.4,0.2,0.0,0.4,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003067,parameter_unlearning,qwen3_4b,RWKU,rwku_001,independent,parameter_plus_comm,gradient_ascent,0.2,0.0,0.4,0.2,0.0,0.4,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003068,parameter_unlearning,qwen3_4b,RWKU,rwku_001,sequential,parameter_only,gradient_ascent,0.2,0.0,0.2,0.2,0.0,0.2,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003069,parameter_unlearning,qwen3_4b,RWKU,rwku_001,sequential,parameter_plus_comm,gradient_ascent,0.2,0.0,0.2,0.2,0.0,0.2,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003070,parameter_unlearning,qwen3_4b,RWKU,rwku_001,debate,parameter_only,gradient_ascent,0.0,0.0,0.0,0.0,0.0,0.0,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003071,parameter_unlearning,qwen3_4b,RWKU,rwku_001,debate,parameter_plus_comm,gradient_ascent,0.0,0.0,0.0,0.0,0.0,0.0,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003072,parameter_unlearning,qwen3_4b,RWKU,rwku_001,scratchpad,parameter_only,gradient_ascent,0.6,0.0,0.2,0.8,0.0,0.2,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003073,parameter_unlearning,qwen3_4b,RWKU,rwku_001,scratchpad,parameter_plus_comm,gradient_ascent,0.8,0.0,0.2,0.6,0.0,0.2,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003074,parameter_unlearning,qwen3_4b,RWKU,rwku_001,hierarchical,parameter_only,gradient_ascent,0.2,0.0,0.0,0.2,0.0,0.0,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003075,parameter_unlearning,qwen3_4b,RWKU,rwku_001,hierarchical,parameter_plus_comm,gradient_ascent,0.2,0.0,0.0,0.2,0.0,0.0,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003076,parameter_unlearning,qwen3_4b,RWKU,rwku_001,independent,parameter_only,lora_grad_diff,0.0,0.0,0.4,0.0,0.0,0.4,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003077,parameter_unlearning,qwen3_4b,RWKU,rwku_001,independent,parameter_plus_comm,lora_grad_diff,0.0,0.0,0.4,0.0,0.0,0.4,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003078,parameter_unlearning,qwen3_4b,RWKU,rwku_001,sequential,parameter_only,lora_grad_diff,0.2,0.0,0.2,0.2,0.0,0.2,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003079,parameter_unlearning,qwen3_4b,RWKU,rwku_001,sequential,parameter_plus_comm,lora_grad_diff,0.0,0.0,0.2,0.2,0.0,0.2,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003080,parameter_unlearning,qwen3_4b,RWKU,rwku_001,debate,parameter_only,lora_grad_diff,0.0,0.0,0.0,0.0,0.0,0.0,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003081,parameter_unlearning,qwen3_4b,RWKU,rwku_001,debate,parameter_plus_comm,lora_grad_diff,0.0,0.0,0.0,0.0,0.0,0.0,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003082,parameter_unlearning,qwen3_4b,RWKU,rwku_001,scratchpad,parameter_only,lora_grad_diff,0.8,0.0,0.2,0.8,0.0,0.2,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003083,parameter_unlearning,qwen3_4b,RWKU,rwku_001,scratchpad,parameter_plus_comm,lora_grad_diff,0.2,0.0,0.2,1.0,0.0,0.2,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003084,parameter_unlearning,qwen3_4b,RWKU,rwku_001,hierarchical,parameter_only,lora_grad_diff,0.0,0.0,0.0,0.2,0.0,0.0,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003085,parameter_unlearning,qwen3_4b,RWKU,rwku_001,hierarchical,parameter_plus_comm,lora_grad_diff,0.0,0.0,0.0,0.2,0.0,0.0,15,1,Stephen King,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003086,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,independent,parameter_only,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003087,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,independent,parameter_plus_comm,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003088,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,sequential,parameter_only,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003089,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,sequential,parameter_plus_comm,gradient_ascent,1.0,0.8,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003090,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,debate,parameter_only,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003091,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,debate,parameter_plus_comm,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003092,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,scratchpad,parameter_only,gradient_ascent,1.0,0.8,0.8,1.0,0.8,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003093,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,scratchpad,parameter_plus_comm,gradient_ascent,1.0,0.8,0.8,1.0,0.8,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003094,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,hierarchical,parameter_only,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003095,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,hierarchical,parameter_plus_comm,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003096,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,independent,parameter_only,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003097,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,independent,parameter_plus_comm,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003098,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,sequential,parameter_only,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003099,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,sequential,parameter_plus_comm,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003100,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,debate,parameter_only,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003101,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,debate,parameter_plus_comm,lora_grad_diff,1.0,0.8,1.0,1.0,0.8,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003102,parameter_unlearning,qwen3_8b,TOFU,tofu_forget01,scratchpad,parameter_only,lora_grad_diff,1.0,0.8,0.8,1.0,0.8,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
