content_f1_threshold,semantic_threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,distance_from_old
0.09,0.23,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.11699999999999999
0.1,0.22,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.1184
0.11,0.21,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.12020000000000003
0.08,0.23,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.12129999999999999
0.09,0.22,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.1225
0.1,0.21,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.12410000000000002
0.11,0.2,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.1261
0.08,0.22,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.1268
0.09,0.21,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.1282
0.12,0.19,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.1285
0.1,0.2,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.13
0.08,0.21,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.1325
0.09,0.2,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.1341
0.12,0.18,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.1348
0.08,0.2,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.1384
0.12,0.17,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.14129999999999998
0.12,0.16,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.14799999999999996
0.14,0.15,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.14809999999999998
