topology,intervention,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes,chain_length,target_agent_position,peer_evidence,raw_complete
hierarchical,none,0.4666666666666667,0.2692307692307692,0.4666666666666667,0.39666666666666667,0.25384615384615383,0.35333333333333333,14.333333333333334,4.0,2.0,1.0,1.0
hierarchical,parameter_only,0.62,0.75,0.62,0.65,0.7375,0.63,14.0,4.0,2.0,1.0,1.0
hierarchical,parameter_plus_comm,0.62,0.75,0.62,0.65,0.7375,0.63,14.0,4.0,2.0,1.0,1.0
hierarchical,target_context,0.10666666666666666,0.10256410256410256,0.4888888888888889,0.35111111111111115,0.21025641025641023,0.3288888888888889,14.333333333333334,4.0,2.0,1.0,1.0
hierarchical,target_context_comm,0.10666666666666666,0.10256410256410256,0.4888888888888889,0.35111111111111115,0.21025641025641023,0.3288888888888889,14.333333333333334,4.0,2.0,1.0,1.0
hierarchical,target_context_memory,0.06727272727272728,0.06739130434782609,0.5690909090909091,0.48,0.46304347826086956,0.4672727272727273,14.181818181818182,4.0,2.0,1.0,1.0
hierarchical,target_memory,0.4133333333333334,0.2564102564102564,0.4488888888888889,0.39111111111111113,0.2358974358974359,0.32,14.333333333333334,4.0,2.0,1.0,1.0
hierarchical,target_memory_comm,0.4133333333333334,0.2564102564102564,0.4488888888888889,0.39111111111111113,0.2358974358974359,0.32,14.333333333333334,4.0,2.0,1.0,1.0
independent,communication,0.4755555555555555,0.317948717948718,0.48444444444444446,0.4755555555555555,0.317948717948718,0.48444444444444446,14.333333333333334,4.0,2.0,1.0,1.0
independent,full_inference,0.06163522012578617,0.08244274809160305,0.6154838709677419,0.06163522012578617,0.08244274809160305,0.6154838709677419,13.9937106918239,4.0,2.0,1.0,1.0
independent,global_context,0.12444444444444444,0.13333333333333333,0.5333333333333333,0.12444444444444444,0.13333333333333333,0.5333333333333333,14.333333333333334,4.0,2.0,1.0,1.0
independent,none,0.43302752293577984,0.31868131868131866,0.5295238095238095,0.43302752293577984,0.31868131868131866,0.5295238095238095,13.990825688073395,4.0,2.0,1.0,1.0
independent,parameter_only,0.64,0.75,0.6599999999999999,0.64,0.75,0.6599999999999999,14.0,4.0,2.0,1.0,1.0
independent,parameter_plus_comm,0.64,0.75,0.6599999999999999,0.64,0.75,0.6599999999999999,14.0,4.0,2.0,1.0,1.0
independent,target_context,0.12444444444444444,0.13333333333333333,0.5333333333333333,0.12444444444444444,0.13333333333333333,0.5333333333333333,14.333333333333334,4.0,2.0,1.0,1.0
independent,target_context_comm,0.12444444444444444,0.13333333333333333,0.5333333333333333,0.12444444444444444,0.13333333333333333,0.5333333333333333,14.333333333333334,4.0,2.0,1.0,1.0
independent,target_context_memory,0.06163522012578617,0.08244274809160305,0.6154838709677419,0.06163522012578617,0.08244274809160305,0.6154838709677419,13.9937106918239,4.0,2.0,1.0,1.0
independent,target_memory,0.4488888888888889,0.28205128205128205,0.46222222222222226,0.4488888888888889,0.28205128205128205,0.46222222222222226,14.333333333333334,4.0,2.0,1.0,1.0
independent,target_memory_comm,0.4488888888888889,0.28205128205128205,0.46222222222222226,0.4488888888888889,0.28205128205128205,0.46222222222222226,14.333333333333334,4.0,2.0,1.0,1.0
scratchpad,communication,0.4577777777777778,0.27692307692307694,0.4755555555555555,0.4488888888888889,0.3230769230769231,0.4488888888888889,14.333333333333334,4.0,2.0,1.0,1.0
scratchpad,full_inference,0.09523809523809523,0.2296774193548387,0.6108108108108108,0.40529100529100526,0.4219354838709678,0.5102702702702703,13.994708994708995,4.0,2.0,0.9404761904761905,1.0
scratchpad,global_context,0.1288888888888889,0.15384615384615385,0.4755555555555555,0.1288888888888889,0.1641025641025641,0.48444444444444446,14.333333333333334,4.0,2.0,1.0,1.0
scratchpad,none,0.4715596330275229,0.35604395604395606,0.5085714285714286,0.44220183486238535,0.3472527472527473,0.4228571428571428,13.990825688073395,4.0,2.0,1.0,1.0
scratchpad,parameter_only,0.6900000000000001,0.725,0.62,0.6900000000000001,0.725,0.7,14.0,4.0,2.0,1.0,1.0
scratchpad,parameter_plus_comm,0.65,0.7375,0.62,0.7,0.7375,0.7,14.0,4.0,2.0,1.0,1.0
scratchpad,target_context,0.4,0.3333333333333333,0.48000000000000004,0.44,0.3282051282051282,0.4444444444444444,14.333333333333334,4.0,2.0,1.0,1.0
scratchpad,target_context_comm,0.15692307692307692,0.26181818181818184,0.5199999999999999,0.47692307692307695,0.4509090909090909,0.49846153846153846,14.23076923076923,4.0,2.0,1.0,1.0
scratchpad,target_context_memory,0.42433862433862435,0.4270967741935484,0.612972972972973,0.43068783068783073,0.4361290322580645,0.5124324324324324,13.994708994708995,4.0,2.0,0.9404761904761905,1.0
scratchpad,target_memory,0.46222222222222226,0.3076923076923077,0.4444444444444444,0.4444444444444444,0.3128205128205128,0.44,14.333333333333334,4.0,2.0,1.0,1.0
scratchpad,target_memory_comm,0.4444444444444444,0.2923076923076923,0.4666666666666667,0.4533333333333333,0.3128205128205129,0.44,14.333333333333334,4.0,2.0,1.0,1.0
sequential,communication,0.39555555555555555,0.28205128205128205,0.3377777777777778,0.40888888888888886,0.27692307692307694,0.3111111111111111,14.333333333333334,4.0,2.0,1.0,1.0
sequential,full_inference,0.025882352941176474,0.3242857142857143,0.5270588235294117,0.37764705882352945,0.4614285714285714,0.5011764705882353,14.117647058823529,3.9705882352941178,2.0588235294117645,0.9338235294117647,1.0
sequential,global_context,0.11555555555555556,0.09743589743589744,0.4177777777777778,0.1111111111111111,0.09230769230769231,0.39111111111111113,14.333333333333334,4.0,2.0,1.0,1.0
sequential,none,0.4266666666666667,0.29615384615384616,0.36333333333333334,0.43,0.28846153846153844,0.3433333333333334,14.333333333333334,4.0,2.0,1.0,1.0
sequential,parameter_only,0.62,0.7375,0.64,0.62,0.7,0.65,14.0,4.0,2.0,1.0,1.0
sequential,parameter_plus_comm,0.55,0.7375,0.64,0.62,0.6875,0.65,14.0,4.0,2.0,1.0,1.0
sequential,target_context,0.3422222222222222,0.27692307692307694,0.4,0.39111111111111113,0.2717948717948718,0.32,14.333333333333334,4.0,2.0,1.0,1.0
sequential,target_context_comm,0.15384615384615385,0.24727272727272726,0.4646153846153846,0.4307692307692308,0.39272727272727276,0.40615384615384614,14.23076923076923,4.0,2.0,1.0,1.0
sequential,target_context_memory,0.3905882352941177,0.48000000000000004,0.5235294117647059,0.4329411764705882,0.4828571428571428,0.5035294117647059,14.117647058823529,3.9705882352941178,2.0588235294117645,0.9338235294117647,1.0
sequential,target_memory,0.40888888888888886,0.27692307692307694,0.3288888888888889,0.40444444444444444,0.26666666666666666,0.2977777777777778,14.333333333333334,4.0,2.0,1.0,1.0
sequential,target_memory_comm,0.4,0.2615384615384615,0.3333333333333333,0.40444444444444444,0.2615384615384615,0.2977777777777778,14.333333333333334,4.0,2.0,1.0,1.0
