model_id,benchmark,topology,intervention,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
mistral_7b,MUSE-Books,debate,target_memory,drr_target,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_memory,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,target_memory,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_memory,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,target_memory,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,debate,target_memory,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,debate,target_memory,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,debate,target_memory,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_memory,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_memory_comm,drr_target,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_memory_comm,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,target_memory_comm,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_memory_comm,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,target_memory_comm,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,debate,target_memory_comm,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,debate,target_memory_comm,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,debate,target_memory_comm,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_memory_comm,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,communication,drr_target,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,communication,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,communication,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,communication,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,communication,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,hierarchical,communication,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,hierarchical,communication,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,hierarchical,communication,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,communication,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,full_inference,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,full_inference,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,full_inference,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,full_inference,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,full_inference,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
