method,model_id,benchmark,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
lora_grad_diff,qwen3_4b,MUSE-News,objective_first,1,-3.741779327392578,,,-3.741779327392578,-3.741779327392578,-3.741779327392578,-3.741779327392578,-3.741779327392578,,
lora_grad_diff,qwen3_4b,MUSE-News,objective_last,1,-15.832704544067383,,,-15.832704544067383,-15.832704544067383,-15.832704544067383,-15.832704544067383,-15.832704544067383,,
lora_grad_diff,qwen3_4b,MUSE-News,size_mib,1,504.6617479324341,,,504.6617479324341,504.6617479324341,504.6617479324341,504.6617479324341,504.6617479324341,,
lora_grad_diff,qwen3_4b,RWKU,forget_loss_first,1,10.838905334472656,,,10.838905334472656,10.838905334472656,10.838905334472656,10.838905334472656,10.838905334472656,,
lora_grad_diff,qwen3_4b,RWKU,forget_loss_last,1,19.83465003967285,,,19.83465003967285,19.83465003967285,19.83465003967285,19.83465003967285,19.83465003967285,,
lora_grad_diff,qwen3_4b,RWKU,retain_loss_first,1,8.873505592346191,,,8.873505592346191,8.873505592346191,8.873505592346191,8.873505592346191,8.873505592346191,,
lora_grad_diff,qwen3_4b,RWKU,retain_loss_last,1,1.2673640251159668,,,1.2673640251159668,1.2673640251159668,1.2673640251159668,1.2673640251159668,1.2673640251159668,,
lora_grad_diff,qwen3_4b,RWKU,objective_first,1,-1.9653997421264648,,,-1.9653997421264648,-1.9653997421264648,-1.9653997421264648,-1.9653997421264648,-1.9653997421264648,,
lora_grad_diff,qwen3_4b,RWKU,objective_last,1,-18.567285537719727,,,-18.567285537719727,-18.567285537719727,-18.567285537719727,-18.567285537719727,-18.567285537719727,,
lora_grad_diff,qwen3_4b,RWKU,size_mib,1,504.66173934936523,,,504.66173934936523,504.66173934936523,504.66173934936523,504.66173934936523,504.66173934936523,,
lora_grad_diff,qwen3_4b,TOFU,forget_loss_first,3,5.36790148417155,0.8556349289715025,0.4940010565697433,5.056789875030518,4.884069919586182,5.696177244186401,4.711349964141846,6.335564613342285,4.399659413294853,6.336143555048246
lora_grad_diff,qwen3_4b,TOFU,forget_loss_last,3,8.743542671203613,1.8927836808802974,1.0927991676739706,9.378800392150879,7.996823310852051,9.807890892028809,6.614846229553223,10.236981391906738,6.601656302562631,10.885429039844595
lora_grad_diff,qwen3_4b,TOFU,retain_loss_first,3,3.4335034688313804,0.8379974946669806,0.4838180791262133,3.4878928661346436,3.028764486312866,3.865437150001526,2.569636106491089,4.242981433868408,2.4852200337440022,4.3817869039187585
lora_grad_diff,qwen3_4b,TOFU,retain_loss_last,3,3.9273356596628823,1.2137553233101201,0.7007619626434392,4.002252578735352,3.3400548696517944,4.552074909210205,2.6778571605682373,5.101897239685059,2.553842212881742,5.300829106444023
lora_grad_diff,qwen3_4b,TOFU,objective_first,3,-1.9343980153401692,1.2823514110997514,0.740365932394138,-2.4871537685394287,-2.667412757873535,-1.477761149406433,-2.8476717472076416,-0.4683685302734375,-3.3855152428326796,-0.4832807878476588
lora_grad_diff,qwen3_4b,TOFU,objective_last,3,-4.816206932067871,3.0617877897339785,1.7677240046044218,-5.376547813415527,-6.467835903167725,-3.4447484016418457,-7.559123992919922,-1.512948989868164,-8.280945981092538,-1.3514678830432043
lora_grad_diff,qwen3_4b,TOFU,size_mib,3,504.66171677907306,7.407620873598126e-06,4.276791905426569e-06,504.661714553833,504.6617126464844,504.66171979904175,504.66171073913574,504.6617250442505,504.6617083965609,504.6617251615852
lora_grad_diff,qwen3_8b,MUSE-News,forget_loss_first,1,7.346629619598389,,,7.346629619598389,7.346629619598389,7.346629619598389,7.346629619598389,7.346629619598389,,
lora_grad_diff,qwen3_8b,MUSE-News,forget_loss_last,1,20.181230545043945,,,20.181230545043945,20.181230545043945,20.181230545043945,20.181230545043945,20.181230545043945,,
lora_grad_diff,qwen3_8b,MUSE-News,retain_loss_first,1,6.772942066192627,,,6.772942066192627,6.772942066192627,6.772942066192627,6.772942066192627,6.772942066192627,,
lora_grad_diff,qwen3_8b,MUSE-News,retain_loss_last,1,2.329807758331299,,,2.329807758331299,2.329807758331299,2.329807758331299,2.329807758331299,2.329807758331299,,
lora_grad_diff,qwen3_8b,MUSE-News,objective_first,1,-0.5736875534057617,,,-0.5736875534057617,-0.5736875534057617,-0.5736875534057617,-0.5736875534057617,-0.5736875534057617,,
lora_grad_diff,qwen3_8b,MUSE-News,objective_last,1,-17.851423263549805,,,-17.851423263549805,-17.851423263549805,-17.851423263549805,-17.851423263549805,-17.851423263549805,,
lora_grad_diff,qwen3_8b,MUSE-News,size_mib,1,666.6634941101074,,,666.6634941101074,666.6634941101074,666.6634941101074,666.6634941101074,666.6634941101074,,
lora_grad_diff,qwen3_8b,RWKU,forget_loss_first,1,8.992667198181152,,,8.992667198181152,8.992667198181152,8.992667198181152,8.992667198181152,8.992667198181152,,
lora_grad_diff,qwen3_8b,RWKU,forget_loss_last,1,27.417236328125,,,27.417236328125,27.417236328125,27.417236328125,27.417236328125,27.417236328125,,
lora_grad_diff,qwen3_8b,RWKU,retain_loss_first,1,7.781423091888428,,,7.781423091888428,7.781423091888428,7.781423091888428,7.781423091888428,7.781423091888428,,
