topology,intervention,n_runs,total_hours,mean_seconds,median_seconds,p90_seconds,p95_seconds,mean_sec_per_probe,median_sec_per_probe
scratchpad,full_inference,189,8.034611111111111,153.04021164021162,136.6,257.46000000000004,279.98,11.29331569664903,9.793333333333333
scratchpad,global_context,45,1.7248055555555555,137.98444444444445,116.8,223.68,238.95999999999998,10.086148148148148,7.786666666666666
scratchpad,none,109,3.8595,127.4697247706422,116.1,187.72000000000003,218.07999999999996,9.518501529051987,8.133333333333333
scratchpad,parameter_only,20,1.0144166666666667,182.595,191.05,280.84000000000003,301.71500000000003,13.092833333333335,12.736666666666668
scratchpad,parameter_plus_comm,20,1.0559166666666666,190.065,191.95,274.68,292.94,13.807166666666665,13.940000000000001
scratchpad,target_context,45,1.9345833333333333,154.76666666666668,140.7,232.82000000000005,265.7,11.301407407407407,9.379999999999999
scratchpad,target_context_comm,65,3.110777777777778,172.28923076923076,159.3,259.28000000000003,289.3,12.473999999999998,10.72
scratchpad,target_context_memory,189,7.931277777777778,151.07195767195768,131.4,263.08,283.2799999999999,11.098218694885363,9.646666666666667
scratchpad,target_memory,45,1.9476111111111112,155.80888888888887,142.3,229.10000000000002,272.12,11.361703703703704,9.486666666666668
scratchpad,target_memory_comm,45,1.9666388888888888,157.3311111111111,141.4,230.08,272.16,11.473925925925927,9.426666666666668
sequential,communication,45,1.7543333333333333,140.34666666666666,131.2,195.24,213.92,10.211555555555556,8.746666666666666
sequential,full_inference,170,5.932055555555555,125.62,123.1,176.43999999999997,197.20499999999998,9.165549019607843,8.55
sequential,global_context,45,1.5305833333333334,122.44666666666667,109.1,187.78,209.54,8.927555555555555,7.2733333333333325
sequential,none,60,2.17425,130.455,123.69999999999999,178.7,203.385,9.443888888888889,8.303333333333335
sequential,parameter_only,20,0.8275,148.95,147.0,201.21000000000004,210.31500000000003,10.888333333333334,11.256666666666668
sequential,parameter_plus_comm,20,0.84775,152.595,149.65,202.86,208.43,11.115666666666666,10.963333333333333
sequential,target_context,45,1.698,135.84,129.5,195.20000000000005,208.17999999999998,9.860296296296298,8.633333333333333
sequential,target_context_comm,65,2.49075,137.94923076923078,138.0,183.88,203.23999999999995,10.008666666666667,9.233333333333333
sequential,target_context_memory,170,5.979694444444444,126.62882352941178,128.45,188.23999999999998,202.17999999999998,9.220372549019608,8.719999999999999
sequential,target_memory,45,1.6544166666666666,132.35333333333332,120.7,186.54000000000002,202.08,9.579925925925927,8.746666666666666
sequential,target_memory_comm,45,1.6675833333333334,133.40666666666667,129.8,189.66,200.94,9.634592592592593,8.713333333333333
