run_id,timing_field,n_values,sum,mean,median,max
AU000065,model_metadata.load_seconds,1,5.313097238540649,5.313097238540649,5.313097238540649,5.313097238540649
AU000066,elapsed_sec,1,539.8596506118774,539.8596506118774,539.8596506118774,539.8596506118774
AU000066,model_metadata.load_seconds,1,5.313097238540649,5.313097238540649,5.313097238540649,5.313097238540649
AU000067,elapsed_sec,1,487.16071105003357,487.16071105003357,487.16071105003357,487.16071105003357
AU000067,model_metadata.load_seconds,1,5.388803243637085,5.388803243637085,5.388803243637085,5.388803243637085
AU000068,elapsed_sec,1,480.9281280040741,480.9281280040741,480.9281280040741,480.9281280040741
AU000068,model_metadata.load_seconds,1,5.388803243637085,5.388803243637085,5.388803243637085,5.388803243637085
AU000069,elapsed_sec,1,501.15702509880066,501.15702509880066,501.15702509880066,501.15702509880066
AU000069,model_metadata.load_seconds,1,5.43707799911499,5.43707799911499,5.43707799911499,5.43707799911499
AU000070,elapsed_sec,1,551.802885055542,551.802885055542,551.802885055542,551.802885055542
AU000070,model_metadata.load_seconds,1,5.43707799911499,5.43707799911499,5.43707799911499,5.43707799911499
AU000071,elapsed_sec,1,504.72349214553833,504.72349214553833,504.72349214553833,504.72349214553833
AU000071,model_metadata.load_seconds,1,5.388803243637085,5.388803243637085,5.388803243637085,5.388803243637085
AU000072,elapsed_sec,1,523.6078200340271,523.6078200340271,523.6078200340271,523.6078200340271
AU000072,model_metadata.load_seconds,1,5.313097238540649,5.313097238540649,5.313097238540649,5.313097238540649
AU000073,elapsed_sec,1,143.0782573223114,143.0782573223114,143.0782573223114,143.0782573223114
AU000073,model_metadata.load_seconds,1,5.43707799911499,5.43707799911499,5.43707799911499,5.43707799911499
AU000074,elapsed_sec,1,147.36687016487122,147.36687016487122,147.36687016487122,147.36687016487122
AU000074,model_metadata.load_seconds,1,5.313097238540649,5.313097238540649,5.313097238540649,5.313097238540649
AU000075,elapsed_sec,1,142.43801856040955,142.43801856040955,142.43801856040955,142.43801856040955
AU000075,model_metadata.load_seconds,1,5.313097238540649,5.313097238540649,5.313097238540649,5.313097238540649
AU000076,elapsed_sec,1,142.32806730270386,142.32806730270386,142.32806730270386,142.32806730270386
AU000076,model_metadata.load_seconds,1,5.43707799911499,5.43707799911499,5.43707799911499,5.43707799911499
AU000077,elapsed_sec,1,146.2465751171112,146.2465751171112,146.2465751171112,146.2465751171112
AU000077,model_metadata.load_seconds,1,5.313097238540649,5.313097238540649,5.313097238540649,5.313097238540649
AU000078,elapsed_sec,1,142.84919595718384,142.84919595718384,142.84919595718384,142.84919595718384
AU000078,model_metadata.load_seconds,1,5.43707799911499,5.43707799911499,5.43707799911499,5.43707799911499
AU000079,elapsed_sec,1,153.9091992378235,153.9091992378235,153.9091992378235,153.9091992378235
AU000079,model_metadata.load_seconds,1,5.313097238540649,5.313097238540649,5.313097238540649,5.313097238540649
AU000080,elapsed_sec,1,147.4353210926056,147.4353210926056,147.4353210926056,147.4353210926056
AU000080,model_metadata.load_seconds,1,5.388803243637085,5.388803243637085,5.388803243637085,5.388803243637085
AU000081,elapsed_sec,1,146.2441849708557,146.2441849708557,146.2441849708557,146.2441849708557
AU000081,model_metadata.load_seconds,1,5.43707799911499,5.43707799911499,5.43707799911499,5.43707799911499
AU000082,elapsed_sec,1,131.21853637695312,131.21853637695312,131.21853637695312,131.21853637695312
AU000082,model_metadata.load_seconds,1,5.388803243637085,5.388803243637085,5.388803243637085,5.388803243637085
AU000083,elapsed_sec,1,138.43969416618347,138.43969416618347,138.43969416618347,138.43969416618347
AU000083,model_metadata.load_seconds,1,5.43707799911499,5.43707799911499,5.43707799911499,5.43707799911499
AU000084,elapsed_sec,1,134.84829664230347,134.84829664230347,134.84829664230347,134.84829664230347
AU000084,model_metadata.load_seconds,1,5.388803243637085,5.388803243637085,5.388803243637085,5.388803243637085
AU000085,elapsed_sec,1,125.14858388900757,125.14858388900757,125.14858388900757,125.14858388900757
AU000085,model_metadata.load_seconds,1,5.388803243637085,5.388803243637085,5.388803243637085,5.388803243637085
AU000086,elapsed_sec,1,131.1532280445099,131.1532280445099,131.1532280445099,131.1532280445099
AU000086,model_metadata.load_seconds,1,5.43707799911499,5.43707799911499,5.43707799911499,5.43707799911499
AU000087,elapsed_sec,1,136.147714138031,136.147714138031,136.147714138031,136.147714138031
AU000087,model_metadata.load_seconds,1,5.43707799911499,5.43707799911499,5.43707799911499,5.43707799911499
AU000088,elapsed_sec,1,134.57529854774475,134.57529854774475,134.57529854774475,134.57529854774475
AU000088,model_metadata.load_seconds,1,5.388803243637085,5.388803243637085,5.388803243637085,5.388803243637085
AU000089,elapsed_sec,1,125.47064876556396,125.47064876556396,125.47064876556396,125.47064876556396
AU000089,model_metadata.load_seconds,1,5.388803243637085,5.388803243637085,5.388803243637085,5.388803243637085
AU000090,elapsed_sec,1,135.9813253879547,135.9813253879547,135.9813253879547,135.9813253879547
AU000090,model_metadata.load_seconds,1,5.313097238540649,5.313097238540649,5.313097238540649,5.313097238540649
AU000091,elapsed_sec,1,160.54300212860107,160.54300212860107,160.54300212860107,160.54300212860107
AU000091,model_metadata.load_seconds,1,5.388803243637085,5.388803243637085,5.388803243637085,5.388803243637085
AU000092,elapsed_sec,1,147.95265746116638,147.95265746116638,147.95265746116638,147.95265746116638
AU000092,model_metadata.load_seconds,1,5.43707799911499,5.43707799911499,5.43707799911499,5.43707799911499
AU000093,elapsed_sec,1,157.37467885017395,157.37467885017395,157.37467885017395,157.37467885017395
AU000093,model_metadata.load_seconds,1,5.388803243637085,5.388803243637085,5.388803243637085,5.388803243637085
AU000094,elapsed_sec,1,159.89639401435852,159.89639401435852,159.89639401435852,159.89639401435852
AU000094,model_metadata.load_seconds,1,5.313097238540649,5.313097238540649,5.313097238540649,5.313097238540649
