run_id,block,model_id,benchmark,unit_id,target_id,target_name,topology,intervention,n_agents,chain_length,target_agent_position,debate_rounds,peer_evidence,comm_threshold,temperature,seed,parameter_method,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes,runtime_seconds_log,n_log_occurrences,runtime_seconds,runtime_source,runtime_raw_fallback,model_params_b,seconds_per_probe,aggregate_run_hours
AU000047,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,independent,global_context,4,4,2,2,1.0,0.5,0.0,42,none,0.2,1.0,1.0,0.0,0.6,1.0,15,140.9,2,140.9,runner_DONE_log,140.93993401527405,4.0,9.393333333333334,0.03913888888888889
AU000048,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,independent,target_context,4,4,2,2,1.0,0.5,0.0,42,none,0.2,1.0,1.0,0.0,0.6,1.0,15,131.6,2,131.6,runner_DONE_log,131.565735578537,4.0,8.773333333333333,0.036555555555555556
AU000049,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,independent,target_memory,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,124.4,2,124.4,runner_DONE_log,124.44131278991699,4.0,8.293333333333333,0.034555555555555555
AU000050,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,independent,communication,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,128.7,2,128.7,runner_DONE_log,128.69301533699036,4.0,8.58,0.03575
AU000051,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,independent,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,0.2,1.0,1.0,0.0,0.6,1.0,15,129.8,2,129.8,runner_DONE_log,129.84736466407776,4.0,8.653333333333334,0.036055555555555556
AU000052,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,independent,target_context_comm,4,4,2,2,1.0,0.5,0.0,42,none,0.2,1.0,1.0,0.0,0.6,1.0,15,131.5,2,131.5,runner_DONE_log,131.494704246521,4.0,8.766666666666667,0.03652777777777778
AU000053,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,independent,target_memory_comm,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,124.7,2,124.7,runner_DONE_log,124.67633891105652,4.0,8.313333333333334,0.03463888888888889
AU000054,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,independent,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,0.2,1.0,1.0,0.0,0.6,1.0,15,128.8,2,128.8,runner_DONE_log,128.75192213058472,4.0,8.586666666666668,0.03577777777777778
AU000055,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,sequential,none,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,118.4,2,118.4,runner_DONE_log,118.42823886871338,4.0,7.8933333333333335,0.03288888888888889
AU000056,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,sequential,global_context,4,4,2,2,1.0,0.5,0.0,42,none,0.0,1.0,1.0,0.0,0.8,1.0,15,144.8,2,144.8,runner_DONE_log,144.83888792991638,4.0,9.653333333333334,0.04022222222222223
AU000057,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,sequential,target_context,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,118.9,2,118.9,runner_DONE_log,118.86391377449036,4.0,7.926666666666667,0.03302777777777778
