model_id,benchmark,topology,unit_id,target_id,seed,runtime_overhead_seconds,drr_gain_pp,irr_gain_pp
qwen3_8b,RWKU,scratchpad,rwku_001,1,42,5.1000000000000085,0.0,0.0
qwen3_8b,RWKU,scratchpad,rwku_023,23,42,0.0,60.0,0.0
qwen3_8b,RWKU,scratchpad,rwku_045,45,42,-11.400000000000006,0.0,-40.0
qwen3_8b,RWKU,scratchpad,rwku_067,67,42,-9.699999999999989,0.0,0.0
qwen3_8b,RWKU,scratchpad,rwku_089,89,42,3.4000000000000057,0.0,19.999999999999996
qwen3_8b,RWKU,scratchpad,rwku_112,112,42,-1.5999999999999943,0.0,0.0
qwen3_8b,RWKU,scratchpad,rwku_134,134,42,0.39999999999997726,-40.0,60.0
qwen3_8b,RWKU,scratchpad,rwku_156,156,42,2.3000000000000114,100.0,0.0
qwen3_8b,RWKU,scratchpad,rwku_178,178,42,4.799999999999997,0.0,0.0
qwen3_8b,RWKU,scratchpad,rwku_200,200,42,4.899999999999977,80.0,19.999999999999996
qwen3_8b,RWKU,sequential,rwku_001,1,42,-0.19999999999998863,0.0,0.0
qwen3_8b,RWKU,sequential,rwku_023,23,42,4.8999999999999915,40.0,0.0
qwen3_8b,RWKU,sequential,rwku_045,45,42,2.1000000000000227,0.0,-20.0
qwen3_8b,RWKU,sequential,rwku_067,67,42,0.6999999999999886,0.0,0.0
qwen3_8b,RWKU,sequential,rwku_089,89,42,2.0999999999999943,0.0,40.0
qwen3_8b,RWKU,sequential,rwku_112,112,42,0.19999999999998863,0.0,0.0
qwen3_8b,RWKU,sequential,rwku_134,134,42,4.199999999999989,0.0,100.0
qwen3_8b,RWKU,sequential,rwku_156,156,42,29.200000000000003,100.0,0.0
qwen3_8b,RWKU,sequential,rwku_178,178,42,3.4000000000000057,0.0,0.0
qwen3_8b,RWKU,sequential,rwku_200,200,42,-8.099999999999994,0.0,40.0
qwen3_8b,TOFU,debate,tofu_forget01,forget01,42,-20.5,80.0,40.0
qwen3_8b,TOFU,debate,tofu_forget05,forget05,42,0.5,19.999999999999996,0.0
qwen3_8b,TOFU,debate,tofu_forget10,forget10,42,33.30000000000001,100.0,0.0
qwen3_8b,TOFU,hierarchical,tofu_forget01,forget01,42,-0.5,0.0,0.0
qwen3_8b,TOFU,hierarchical,tofu_forget05,forget05,42,0.20000000000000284,0.0,0.0
qwen3_8b,TOFU,hierarchical,tofu_forget10,forget10,42,-10.399999999999977,0.0,0.0
qwen3_8b,TOFU,independent,tofu_forget01,forget01,42,0.19999999999998863,0.0,0.0
qwen3_8b,TOFU,independent,tofu_forget05,forget05,42,-0.7000000000000028,0.0,0.0
qwen3_8b,TOFU,independent,tofu_forget10,forget10,42,-0.39999999999997726,0.0,0.0
qwen3_8b,TOFU,scratchpad,tofu_forget01,forget01,42,-7.199999999999989,40.0,80.0
qwen3_8b,TOFU,scratchpad,tofu_forget05,forget05,42,9.100000000000023,19.999999999999996,0.0
qwen3_8b,TOFU,scratchpad,tofu_forget10,forget10,42,-15.599999999999994,100.0,0.0
qwen3_8b,TOFU,sequential,tofu_forget01,forget01,42,-10.900000000000006,100.0,100.0
qwen3_8b,TOFU,sequential,tofu_forget05,forget05,42,-10.299999999999983,0.0,0.0
qwen3_8b,TOFU,sequential,tofu_forget10,forget10,42,-2.799999999999983,100.0,0.0
