content_f1_threshold,semantic_threshold,metric,n_pairs,communication_delta
0.4,0.25,drr_target,225,-0.1866666666666666
0.4,0.25,irr_target,195,-0.1035897435897435
0.4,0.3,drr_target,225,-0.1928888888888889
0.4,0.3,irr_target,195,-0.0728205128205128
0.4,0.35,drr_target,225,-0.1751111111111111
0.4,0.35,irr_target,195,-0.0728205128205128
0.4,0.4,drr_target,225,-0.1724444444444444
0.4,0.4,irr_target,195,-0.081025641025641
0.4,0.45,drr_target,225,-0.152
0.4,0.45,irr_target,195,-0.08
0.4,0.5,drr_target,225,-0.1582222222222222
0.4,0.5,irr_target,195,-0.0707692307692307
0.4,0.55,drr_target,225,-0.1324444444444444
0.4,0.55,irr_target,195,-0.0717948717948718
0.4,0.6,drr_target,225,-0.12
0.4,0.6,irr_target,195,-0.0748717948717948
