contrast,A,B,metric,n_pairs,mean_A,mean_B,delta,ci95_low,ci95_high,wilcoxon_p,topology
communication_defense,target_context_memory,full_inference,retention_system,45,0.9244444444444445,0.9244444444444445,0.0,0.0,0.0,1.0,scratchpad
total_defense,none,full_inference,drr_target,45,0.8844444444444444,0.5466666666666667,-0.3377777777777778,-0.4666666666666667,-0.21333333333333337,5.0252165865215855e-05,scratchpad
total_defense,none,full_inference,irr_target,39,0.7589743589743589,0.6717948717948717,-0.08717948717948716,-0.18974358974358976,0.015384615384615387,0.08591894327695246,scratchpad
total_defense,none,full_inference,retention_target,45,0.8311111111111111,0.8755555555555556,0.04444444444444444,1.2335811384723962e-18,0.10222222222222223,0.07154597258900632,scratchpad
total_defense,none,full_inference,drr_system,45,0.9333333333333333,0.9022222222222221,-0.03111111111111111,-0.08888888888888889,0.008888888888888887,0.2228009911811345,scratchpad
total_defense,none,full_inference,irr_system,39,0.8153846153846154,0.8205128205128205,0.00512820512820513,-0.02051282051282051,0.035897435897435895,0.7054569861112734,scratchpad
total_defense,none,full_inference,retention_system,45,0.9111111111111111,0.9244444444444445,0.013333333333333332,-0.008888888888888887,0.044444444444444446,0.4142161782425252,scratchpad
local_suppression,none,target_context_memory,drr_target,45,0.8888888888888888,0.8222222222222222,-0.06666666666666667,-0.11999999999999998,-0.022222222222222223,0.006655605482949389,sequential
local_suppression,none,target_context_memory,irr_target,39,0.7487179487179488,0.7538461538461538,0.005128205128205127,-0.0717948717948718,0.08205128205128205,0.8539232992870668,sequential
local_suppression,none,target_context_memory,retention_target,45,0.7644444444444446,0.8088888888888889,0.044444444444444446,0.008888888888888889,0.08888888888888889,0.020553761503588307,sequential
local_suppression,none,target_context_memory,drr_system,45,0.9200000000000002,0.9111111111111111,-0.00888888888888889,-0.04000000000000001,0.013333333333333336,0.6547208460185769,sequential
local_suppression,none,target_context_memory,irr_system,39,0.8205128205128205,0.8102564102564103,-0.010256410256410256,-0.04615384615384615,0.015384615384615382,0.6547208460185769,sequential
local_suppression,none,target_context_memory,retention_system,45,0.8622222222222221,0.8888888888888888,0.026666666666666665,0.004444444444444444,0.053333333333333344,0.0633177868300456,sequential
communication_defense,target_context_memory,full_inference,drr_target,45,0.8222222222222222,0.52,-0.3022222222222222,-0.43111111111111117,-0.1733333333333333,0.00034039215892250847,sequential
communication_defense,target_context_memory,full_inference,irr_target,39,0.7538461538461538,0.6256410256410257,-0.1282051282051282,-0.22564102564102567,-0.04615384615384615,0.008868809114678912,sequential
communication_defense,target_context_memory,full_inference,retention_target,45,0.8088888888888889,0.8133333333333332,0.004444444444444444,0.0,0.01333333333333333,0.31731050786291415,sequential
communication_defense,target_context_memory,full_inference,drr_system,45,0.9111111111111111,0.8977777777777779,-0.013333333333333332,-0.07111111111111111,0.031111111111111114,0.892250486903652,sequential
communication_defense,target_context_memory,full_inference,irr_system,39,0.8102564102564103,0.805128205128205,-0.005128205128205127,-0.05128205128205127,0.041025641025641026,0.7854947471183542,sequential
communication_defense,target_context_memory,full_inference,retention_system,45,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,1.0,sequential
total_defense,none,full_inference,drr_target,45,0.8888888888888888,0.52,-0.3688888888888888,-0.488888888888889,-0.24888888888888888,9.504009283670438e-06,sequential
total_defense,none,full_inference,irr_target,39,0.7487179487179488,0.6256410256410257,-0.12307692307692307,-0.24102564102564103,-0.0051282051282051325,0.04163284668907908,sequential
total_defense,none,full_inference,retention_target,45,0.7644444444444446,0.8133333333333332,0.04888888888888889,0.008888888888888894,0.09333333333333334,0.020553761503588307,sequential
total_defense,none,full_inference,drr_system,45,0.9200000000000002,0.8977777777777779,-0.022222222222222216,-0.08,0.026666666666666672,0.34302782731118187,sequential
total_defense,none,full_inference,irr_system,39,0.8205128205128205,0.805128205128205,-0.015384615384615384,-0.05128205128205128,0.010256410256410255,0.4142161782425252,sequential
total_defense,none,full_inference,retention_system,45,0.8622222222222221,0.8888888888888888,0.026666666666666665,0.004444444444444444,0.053333333333333344,0.0633177868300456,sequential
