block,parameter_method,model_id,benchmark,topology,intervention,drr_target_mean,drr_target_std,drr_target_count,irr_target_mean,irr_target_std,irr_target_count,retention_target_mean,retention_target_std,retention_target_count,drr_system_mean,drr_system_std,drr_system_count,irr_system_mean,irr_system_std,irr_system_count,retention_system_mean,retention_system_std,retention_system_count
ablation_peer_evidence,none,qwen3_8b,MUSE-News,debate,full_inference,0.0,0.0,3,,,0,0.3333333333333333,0.11547005383792516,3,0.0,0.0,3,,,0,0.3333333333333333,0.30550504633038933,3
ablation_peer_evidence,none,qwen3_8b,MUSE-News,debate,target_context_memory,0.0,0.0,3,,,0,0.3333333333333333,0.23094010767585027,3,0.0,0.0,3,,,0,0.3333333333333333,0.30550504633038933,3
ablation_peer_evidence,none,qwen3_8b,MUSE-News,scratchpad,full_inference,0.0,0.0,3,,,0,0.06666666666666667,0.11547005383792516,3,0.0,0.0,3,,,0,1.0,0.0,3
ablation_peer_evidence,none,qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.0,0.0,3,,,0,0.06666666666666667,0.11547005383792516,3,0.0,0.0,3,,,0,1.0,0.0,3
ablation_peer_evidence,none,qwen3_8b,MUSE-News,sequential,full_inference,0.0,0.0,3,,,0,0.0,0.0,3,0.0,0.0,3,,,0,1.0,0.0,3
ablation_peer_evidence,none,qwen3_8b,MUSE-News,sequential,target_context_memory,0.0,0.0,3,,,0,0.0,0.0,3,0.0,0.0,3,,,0,1.0,0.0,3
ablation_peer_evidence,none,qwen3_8b,RWKU,debate,full_inference,0.8666666666666667,0.11547005383792512,3,0.26666666666666666,0.23094010767585033,3,0.7999999999999999,0.2,3,0.9333333333333332,0.11547005383792512,3,0.6666666666666666,0.5773502691896258,3,0.7333333333333334,0.3055050463303894,3
ablation_peer_evidence,none,qwen3_8b,RWKU,debate,target_context_memory,0.9333333333333332,0.11547005383792512,3,0.26666666666666666,0.23094010767585033,3,0.6666666666666666,0.1154700538379252,3,0.8666666666666667,0.11547005383792512,3,0.6666666666666666,0.5773502691896258,3,0.7333333333333334,0.3055050463303894,3
ablation_peer_evidence,none,qwen3_8b,RWKU,scratchpad,full_inference,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3
ablation_peer_evidence,none,qwen3_8b,RWKU,scratchpad,target_context_memory,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3
ablation_peer_evidence,none,qwen3_8b,RWKU,sequential,full_inference,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3
ablation_peer_evidence,none,qwen3_8b,RWKU,sequential,target_context_memory,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3
