contrast,A,B,metric,n_pairs,mean_A,mean_B,delta,ci95_low,ci95_high,wilcoxon_p,model_id
communication_defense,target_context_memory,full_inference,retention_system,75,0.8293333333333334,0.8293333333333334,0.0,-0.008000000000000002,0.008000000000000002,1.0,mistral_7b
total_defense,none,full_inference,drr_target,75,0.7919999999999999,0.5493333333333332,-0.2426666666666667,-0.3333333333333333,-0.15466666666666667,1.236282320471728e-05,mistral_7b
total_defense,none,full_inference,irr_target,65,0.7292307692307692,0.6523076923076923,-0.07692307692307694,-0.2123076923076923,0.05538461538461537,0.31333578125367456,mistral_7b
total_defense,none,full_inference,retention_target,75,0.7333333333333333,0.7173333333333333,-0.016000000000000004,-0.08800000000000001,0.056,0.9287474755552004,mistral_7b
total_defense,none,full_inference,drr_system,75,0.8453333333333333,0.7946666666666666,-0.05066666666666666,-0.12533333333333332,0.01866666666666667,0.2371332525907418,mistral_7b
total_defense,none,full_inference,irr_system,65,0.7569230769230769,0.7476923076923077,-0.009230769230769232,-0.08615384615384616,0.0676923076923077,0.9736921424814428,mistral_7b
total_defense,none,full_inference,retention_system,75,0.8293333333333334,0.8293333333333334,1.4802973661668755e-18,-0.056,0.056,1.0,mistral_7b
local_suppression,none,target_context_memory,drr_target,75,0.9306666666666666,0.6213333333333334,-0.30933333333333335,-0.4053333333333334,-0.216,3.826207406758049e-07,qwen3_4b
local_suppression,none,target_context_memory,irr_target,65,0.7476923076923078,0.5815384615384614,-0.16615384615384612,-0.2584615384615384,-0.07999999999999999,0.0008428841493132301,qwen3_4b
local_suppression,none,target_context_memory,retention_target,75,0.7919999999999999,0.8586666666666667,0.06666666666666667,0.021333333333333333,0.11733333333333332,0.012390685038248113,qwen3_4b
local_suppression,none,target_context_memory,drr_system,75,0.92,0.7093333333333334,-0.21066666666666667,-0.30133333333333334,-0.12266666666666666,5.643366099237226e-05,qwen3_4b
local_suppression,none,target_context_memory,irr_system,65,0.7692307692307693,0.6461538461538462,-0.12307692307692307,-0.19692307692307692,-0.05846153846153847,0.001433761892720671,qwen3_4b
local_suppression,none,target_context_memory,retention_system,75,0.8213333333333334,0.8533333333333334,0.032,-0.010666666666666668,0.07733333333333334,0.2083301538198472,qwen3_4b
communication_defense,target_context_memory,full_inference,drr_target,75,0.6213333333333334,0.34933333333333333,-0.27199999999999996,-0.35733333333333334,-0.19199999999999998,3.445616940941968e-07,qwen3_4b
communication_defense,target_context_memory,full_inference,irr_target,65,0.5815384615384614,0.5169230769230769,-0.0646153846153846,-0.1046153846153846,-0.030769230769230767,0.0013318368153214172,qwen3_4b
communication_defense,target_context_memory,full_inference,retention_target,75,0.8586666666666667,0.864,0.005333333333333334,0.0,0.016000000000000004,0.31731050786291415,qwen3_4b
communication_defense,target_context_memory,full_inference,drr_system,75,0.7093333333333334,0.672,-0.03733333333333333,-0.08266666666666667,-0.0026666666666666644,0.09088878524572704,qwen3_4b
communication_defense,target_context_memory,full_inference,irr_system,65,0.6461538461538462,0.6369230769230769,-0.009230769230769228,-0.02461538461538461,0.0,0.17971249487899976,qwen3_4b
communication_defense,target_context_memory,full_inference,retention_system,75,0.8533333333333334,0.8533333333333334,0.0,-0.007999999999999998,0.007999999999999998,1.0,qwen3_4b
total_defense,none,full_inference,drr_target,75,0.9306666666666666,0.34933333333333333,-0.5813333333333333,-0.6666666666666667,-0.49333333333333335,2.26624716034428e-12,qwen3_4b
total_defense,none,full_inference,irr_target,65,0.7476923076923078,0.5169230769230769,-0.23076923076923078,-0.32,-0.14153846153846156,9.962063902686735e-06,qwen3_4b
total_defense,none,full_inference,retention_target,75,0.7919999999999999,0.864,0.07200000000000001,0.024,0.12266666666666669,0.00920771114195694,qwen3_4b
total_defense,none,full_inference,drr_system,75,0.92,0.672,-0.24800000000000003,-0.344,-0.15733333333333333,8.656929950746575e-06,qwen3_4b
total_defense,none,full_inference,irr_system,65,0.7692307692307693,0.6369230769230769,-0.1323076923076923,-0.20615384615384616,-0.0676923076923077,0.0006789811497924466,qwen3_4b
total_defense,none,full_inference,retention_system,75,0.8213333333333334,0.8533333333333334,0.03200000000000001,-0.010666666666666668,0.07733333333333334,0.22279364768950405,qwen3_4b
local_suppression,none,target_context_memory,drr_target,75,0.808,0.6613333333333332,-0.14666666666666667,-0.22666666666666666,-0.072,0.0006876345258588166,qwen3_8b
local_suppression,none,target_context_memory,irr_target,65,0.7353846153846153,0.5353846153846153,-0.20000000000000004,-0.29846153846153844,-0.11076923076923076,0.00021280266288767457,qwen3_8b
local_suppression,none,target_context_memory,retention_target,75,0.768,0.8373333333333333,0.06933333333333333,0.024000000000000004,0.11733333333333335,0.008439733424417695,qwen3_8b
local_suppression,none,target_context_memory,drr_system,75,0.8586666666666667,0.7733333333333333,-0.08533333333333333,-0.15200000000000002,-0.026666666666666665,0.009342237754977528,qwen3_8b
local_suppression,none,target_context_memory,irr_system,65,0.7784615384615384,0.676923076923077,-0.10153846153846154,-0.18153846153846154,-0.03384615384615385,0.007950471495270372,qwen3_8b
local_suppression,none,target_context_memory,retention_system,75,0.8266666666666667,0.8853333333333332,0.05866666666666667,0.021333333333333336,0.10133333333333333,0.005340992525067206,qwen3_8b
communication_defense,target_context_memory,full_inference,drr_target,75,0.6613333333333332,0.5066666666666667,-0.15466666666666667,-0.24,-0.07733333333333334,0.0010425164732044692,qwen3_8b
communication_defense,target_context_memory,full_inference,irr_target,65,0.5353846153846153,0.46461538461538465,-0.07076923076923076,-0.1323076923076923,-0.018461538461538456,0.026621838931764463,qwen3_8b
communication_defense,target_context_memory,full_inference,retention_target,75,0.8373333333333333,0.8320000000000001,-0.0053333333333333306,-0.01866666666666666,0.008000000000000002,0.9146213878996874,qwen3_8b
communication_defense,target_context_memory,full_inference,drr_system,75,0.7733333333333333,0.7813333333333332,0.008000000000000002,-0.007999999999999998,0.02666666666666667,0.2228009911811345,qwen3_8b
communication_defense,target_context_memory,full_inference,irr_system,65,0.676923076923077,0.676923076923077,1.708035422500241e-18,-0.009230769230769228,0.009230769230769233,0.6547208460185769,qwen3_8b
communication_defense,target_context_memory,full_inference,retention_system,75,0.8853333333333332,0.88,-0.005333333333333334,-0.016000000000000004,0.0,0.31731050786291415,qwen3_8b
total_defense,none,full_inference,drr_target,75,0.808,0.5066666666666667,-0.30133333333333334,-0.4053333333333334,-0.2026666666666667,2.045619236781237e-06,qwen3_8b
total_defense,none,full_inference,irr_target,65,0.7353846153846153,0.46461538461538465,-0.2707692307692308,-0.3753846153846154,-0.16923076923076924,2.177871333918729e-05,qwen3_8b
total_defense,none,full_inference,retention_target,75,0.768,0.8320000000000001,0.06400000000000002,0.023999999999999997,0.10933333333333335,0.002810218971034494,qwen3_8b
total_defense,none,full_inference,drr_system,75,0.8586666666666667,0.7813333333333332,-0.07733333333333334,-0.144,-0.02133333333333333,0.017339673528190696,qwen3_8b
total_defense,none,full_inference,irr_system,65,0.7784615384615384,0.676923076923077,-0.10153846153846154,-0.1815384615384615,-0.03384615384615385,0.009732747897441794,qwen3_8b
total_defense,none,full_inference,retention_system,75,0.8266666666666667,0.88,0.05333333333333334,0.010666666666666668,0.096,0.02240387014104034,qwen3_8b
