contrast,A,B,metric,n_pairs,mean_A,mean_B,mean_diff_B_minus_A,median_diff,bootstrap95_low,bootstrap95_high,wilcoxon_p,model_id,benchmark,topology,wilcoxon_p_holm
local_suppression,none,target_context_memory,drr_system,45,0.4755555555555556,0.0622222222222222,-0.4133333333333334,-0.2,-0.5466666666666666,-0.2933333333333333,7.778787466397412e-06,,,independent,0.0031192937740253
local_suppression,none,target_context_memory,irr_system,39,0.3179487179487179,0.0461538461538461,-0.2717948717948718,0.0,-0.4,-0.158974358974359,0.0001766057613945,,,independent,0.0671101893299135
local_suppression,none,target_context_memory,retention_system,45,0.4844444444444444,0.5688888888888889,0.0844444444444444,0.0,-0.0177777777777777,0.1822222222222222,0.0776311060517476,,,independent,1.0
local_suppression,none,target_context_memory,drr_target,45,0.4488888888888889,0.4133333333333333,-0.0355555555555555,0.0,-0.0888888888888888,0.0045555555555549,0.2071604489114608,,,scratchpad,1.0
local_suppression,none,target_context_memory,irr_target,39,0.3384615384615384,0.3743589743589743,0.0358974358974358,0.0,-0.0307692307692307,0.1179487179487179,0.4738046981936422,,,scratchpad,1.0
local_suppression,none,target_context_memory,retention_target,45,0.44,0.5244444444444444,0.0844444444444444,0.0,0.0177777777777777,0.1555555555555555,0.0259940365306305,,,scratchpad,1.0
local_suppression,none,target_context_memory,drr_system,45,0.4533333333333333,0.431111111111111,-0.0222222222222222,0.0,-0.0577777777777777,0.0,0.1797124948789997,,,scratchpad,1.0
local_suppression,none,target_context_memory,irr_system,39,0.317948717948718,0.358974358974359,0.041025641025641,0.0,0.0051282051282051,0.0871794871794871,0.0393595088882497,,,scratchpad,1.0
local_suppression,none,target_context_memory,retention_system,45,0.44,0.4666666666666667,0.0266666666666666,0.0,-0.0088888888888888,0.0666666666666666,0.1842251512580656,,,scratchpad,1.0
local_suppression,none,target_context_memory,drr_target,45,0.4088888888888888,0.3466666666666667,-0.0622222222222222,0.0,-0.12,-0.0177777777777777,0.0171480325014589,,,sequential,1.0
local_suppression,none,target_context_memory,irr_target,39,0.2923076923076923,0.2923076923076923,-4.270088556250602e-18,0.0,-0.0615384615384615,0.0615384615384615,0.9052810414333132,,,sequential,1.0
local_suppression,none,target_context_memory,retention_target,45,0.3333333333333333,0.3733333333333333,0.04,0.0,-0.0266666666666666,0.1022222222222222,0.2418660395093516,,,sequential,1.0
local_suppression,none,target_context_memory,drr_system,45,0.4133333333333334,0.4044444444444445,-0.0088888888888888,0.0,-0.0222222222222222,0.0,0.157299207050285,,,sequential,1.0
local_suppression,none,target_context_memory,irr_system,39,0.2871794871794872,0.2666666666666667,-0.0205128205128205,0.0,-0.0717948717948718,0.0205128205128205,0.4652088184521418,,,sequential,1.0
local_suppression,none,target_context_memory,retention_system,45,0.3111111111111111,0.3066666666666667,-0.0044444444444444,0.0,-0.0444444444444444,0.0355555555555555,0.6669545286928193,,,sequential,1.0
communication_defense,target_context_memory,full_inference,drr_target,45,0.2622222222222222,0.0266666666666666,-0.2355555555555555,0.0,-0.3601111111111111,-0.1288888888888889,0.0005856968323528,,,debate,0.2137793438087985
