run_id,block,model_id,benchmark,unit_id,topology,intervention,parameter_method,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes
AU000106,main,qwen3_4b,TOFU,tofu_forget10,sequential,target_context_comm,none,0.0,1.0,1.0,1.0,1.0,1.0,15
AU000107,main,qwen3_4b,TOFU,tofu_forget10,sequential,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000108,main,qwen3_4b,TOFU,tofu_forget10,sequential,full_inference,none,0.0,1.0,1.0,1.0,1.0,1.0,15
AU000109,main,qwen3_4b,TOFU,tofu_forget10,debate,none,none,1.0,1.0,0.2,1.0,1.0,0.2,15
AU000110,main,qwen3_4b,TOFU,tofu_forget10,debate,global_context,none,0.0,0.0,0.4,0.0,0.0,0.4,15
AU000111,main,qwen3_4b,TOFU,tofu_forget10,debate,target_context,none,1.0,1.0,0.2,1.0,1.0,0.2,15
AU000112,main,qwen3_4b,TOFU,tofu_forget10,debate,target_memory,none,1.0,1.0,0.2,1.0,1.0,0.4,15
AU000113,main,qwen3_4b,TOFU,tofu_forget10,debate,communication,none,1.0,1.0,0.2,1.0,1.0,0.2,15
AU000114,main,qwen3_4b,TOFU,tofu_forget10,debate,target_context_memory,none,1.0,1.0,0.2,1.0,1.0,0.2,15
AU000115,main,qwen3_4b,TOFU,tofu_forget10,debate,target_context_comm,none,0.0,1.0,0.2,1.0,1.0,0.2,15
AU000116,main,qwen3_4b,TOFU,tofu_forget10,debate,target_memory_comm,none,1.0,1.0,0.2,1.0,1.0,0.4,15
AU000117,main,qwen3_4b,TOFU,tofu_forget10,debate,full_inference,none,0.0,1.0,0.2,1.0,1.0,0.2,15
AU000118,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000119,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,global_context,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU000120,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,target_context,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000121,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000122,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,communication,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000123,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,target_context_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000124,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,target_context_comm,none,0.0,1.0,1.0,1.0,1.0,1.0,15
AU000125,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000126,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,full_inference,none,0.0,1.0,1.0,1.0,1.0,1.0,15
AU000127,main,qwen3_4b,TOFU,tofu_forget10,hierarchical,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000128,main,qwen3_4b,TOFU,tofu_forget10,hierarchical,global_context,none,0.0,0.0,0.8,0.0,0.0,0.8,15
AU000129,main,qwen3_4b,TOFU,tofu_forget10,hierarchical,target_context,none,0.0,0.0,0.8,1.0,1.0,1.0,15
AU000130,main,qwen3_4b,TOFU,tofu_forget10,hierarchical,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000131,main,qwen3_4b,TOFU,tofu_forget10,hierarchical,communication,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000132,main,qwen3_4b,TOFU,tofu_forget10,hierarchical,target_context_memory,none,0.0,0.0,1.0,1.0,1.0,0.8,15
AU000133,main,qwen3_4b,TOFU,tofu_forget10,hierarchical,target_context_comm,none,0.0,0.0,0.8,1.0,1.0,1.0,15
AU000134,main,qwen3_4b,TOFU,tofu_forget10,hierarchical,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000135,main,qwen3_4b,TOFU,tofu_forget10,hierarchical,full_inference,none,0.0,0.0,1.0,1.0,1.0,0.8,15
AU000136,main,qwen3_4b,MUSE-News,muse_news,independent,none,none,0.0,,0.0,0.0,,0.0,10
AU000137,main,qwen3_4b,MUSE-News,muse_news,independent,global_context,none,0.0,,0.2,0.0,,0.2,10
AU000138,main,qwen3_4b,MUSE-News,muse_news,independent,target_context,none,0.0,,0.2,0.0,,0.2,10
AU000139,main,qwen3_4b,MUSE-News,muse_news,independent,target_memory,none,0.0,,0.2,0.0,,0.2,10
AU000140,main,qwen3_4b,MUSE-News,muse_news,independent,communication,none,0.0,,0.0,0.0,,0.0,10
AU000141,main,qwen3_4b,MUSE-News,muse_news,independent,target_context_memory,none,0.0,,0.2,0.0,,0.2,10
AU000142,main,qwen3_4b,MUSE-News,muse_news,independent,target_context_comm,none,0.0,,0.2,0.0,,0.2,10
AU000143,main,qwen3_4b,MUSE-News,muse_news,independent,target_memory_comm,none,0.0,,0.2,0.0,,0.2,10
AU000144,main,qwen3_4b,MUSE-News,muse_news,independent,full_inference,none,0.0,,0.2,0.0,,0.2,10
AU000145,main,qwen3_4b,MUSE-News,muse_news,sequential,none,none,0.0,,0.2,0.0,,0.2,10
AU000146,main,qwen3_4b,MUSE-News,muse_news,sequential,global_context,none,0.0,,0.2,0.0,,0.4,10
AU000147,main,qwen3_4b,MUSE-News,muse_news,sequential,target_context,none,0.0,,0.2,0.0,,0.2,10
AU000148,main,qwen3_4b,MUSE-News,muse_news,sequential,target_memory,none,0.0,,0.2,0.0,,0.2,10
AU000149,main,qwen3_4b,MUSE-News,muse_news,sequential,communication,none,0.0,,0.2,0.0,,0.2,10
AU000150,main,qwen3_4b,MUSE-News,muse_news,sequential,target_context_memory,none,0.0,,0.2,0.0,,0.2,10
AU000151,main,qwen3_4b,MUSE-News,muse_news,sequential,target_context_comm,none,0.0,,0.2,0.0,,0.2,10
AU000152,main,qwen3_4b,MUSE-News,muse_news,sequential,target_memory_comm,none,0.0,,0.2,0.0,,0.2,10
AU000153,main,qwen3_4b,MUSE-News,muse_news,sequential,full_inference,none,0.0,,0.2,0.0,,0.2,10
AU000154,main,qwen3_4b,MUSE-News,muse_news,debate,none,none,0.0,,0.4,0.0,,0.4,10
AU000155,main,qwen3_4b,MUSE-News,muse_news,debate,global_context,none,0.0,,0.0,0.0,,0.0,10
AU000156,main,qwen3_4b,MUSE-News,muse_news,debate,target_context,none,0.0,,0.4,0.0,,0.6,10
AU000157,main,qwen3_4b,MUSE-News,muse_news,debate,target_memory,none,0.0,,0.4,0.0,,0.6,10
AU000158,main,qwen3_4b,MUSE-News,muse_news,debate,communication,none,0.0,,0.4,0.0,,0.4,10
AU000159,main,qwen3_4b,MUSE-News,muse_news,debate,target_context_memory,none,0.0,,0.2,0.0,,0.0,10
AU000160,main,qwen3_4b,MUSE-News,muse_news,debate,target_context_comm,none,0.0,,0.4,0.0,,0.6,10
AU000161,main,qwen3_4b,MUSE-News,muse_news,debate,target_memory_comm,none,0.0,,0.4,0.0,,0.6,10
AU000162,main,qwen3_4b,MUSE-News,muse_news,debate,full_inference,none,0.0,,0.2,0.0,,0.0,10
AU000163,main,qwen3_4b,MUSE-News,muse_news,scratchpad,none,none,0.0,,0.0,0.0,,0.8,10
AU000164,main,qwen3_4b,MUSE-News,muse_news,scratchpad,global_context,none,0.0,,0.2,0.0,,0.8,10
