model_id,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
qwen25coder_7b,irr_system,117,0.20683760683760682,0.37959290710609683,0.03509337667624284,0.0,0.0,0.2,0.0,1.0,0.13805458855217084,0.2756206251230428
qwen25coder_7b,retention_system,135,0.4281481481481481,0.4519694633476733,0.03889933787866316,0.2,0.0,1.0,0.0,1.0,0.3519054459059683,0.5043908503903279
qwen25coder_7b,n_scored_probes,135,14.333333333333334,1.706003447005319,0.1468293986405344,15.0,15.0,15.0,10.0,15.0,14.045547711997887,14.62111895466878
qwen3_14b,drr_target,225,0.3671111111111111,0.4373041511750381,0.029153610078335876,0.0,0.0,1.0,0.0,1.0,0.3099700353575728,0.42425218686464944
qwen3_14b,irr_target,195,0.22564102564102567,0.390557326281744,0.02796839105154288,0.0,0.0,0.30000000000000004,0.0,1.0,0.17082297918000164,0.28045907210204973
qwen3_14b,retention_target,225,0.5422222222222223,0.4408235438646589,0.029388236257643925,0.6,0.0,1.0,0.0,1.0,0.4846212791572402,0.5998231652872044
qwen3_14b,drr_system,225,0.3831111111111111,0.4357660650992267,0.029051071006615116,0.2,0.0,1.0,0.0,1.0,0.3261710119381455,0.44005121028407673
qwen3_14b,irr_system,195,0.25435897435897437,0.40679660608293206,0.02913131003247477,0.0,0.0,0.4,0.0,1.0,0.19726160669532383,0.3114563420226249
qwen3_14b,retention_system,225,0.4302222222222223,0.45647371662369995,0.030431581108246664,0.2,0.0,1.0,0.0,1.0,0.37057632325005885,0.4898681211943857
qwen3_14b,n_scored_probes,225,14.333333333333334,1.7034628596731172,0.11356419064487448,15.0,15.0,15.0,10.0,15.0,14.11074751966938,14.555919146997288
qwen3_4b,drr_target,775,0.28283870967741936,0.39230609990032617,0.014092051111908843,0.0,0.0,0.4,0.0,1.0,0.255218289498078,0.3104591298567607
qwen3_4b,irr_target,665,0.2742857142857143,0.4079966588908455,0.01582143181766562,0.0,0.0,0.4,0.0,1.0,0.2432757079230897,0.30529572064833893
qwen3_4b,retention_target,775,0.5171612903225806,0.4086938842288747,0.014680717702684564,0.4,0.2,1.0,0.0,1.0,0.4883870836253189,0.5459354970198423
qwen3_4b,drr_system,775,0.3747096774193548,0.41043291834571716,0.014743185652242636,0.2,0.0,1.0,0.0,1.0,0.3458130335409592,0.40360632129775037
qwen3_4b,irr_system,665,0.2911278195488722,0.40856355431519603,0.01584341507931411,0.0,0.0,0.6,0.0,1.0,0.2600747259934165,0.32218091310432784
qwen3_4b,retention_system,775,0.4815483870967743,0.4149128079000935,0.014904108035534706,0.4,0.0,1.0,0.0,1.0,0.45233633534712625,0.5107604388464223
qwen3_4b,n_scored_probes,775,14.290322580645162,1.746046630641851,0.06271984648985246,15.0,15.0,15.0,10.0,15.0,14.167391681525052,14.413253479765272
qwen3_8b,drr_target,1623,0.20012322858903267,0.3644159688719124,0.009045615842479683,0.0,0.0,0.2,0.0,1.0,0.1823938215377725,0.21785263564029284
qwen3_8b,irr_target,1329,0.2883370955605719,0.4189678447753652,0.011492597642336302,0.0,0.0,0.6,0.0,1.0,0.2658116041815928,0.31086258693955104
qwen3_8b,retention_target,1605,0.45619937694704055,0.45752970019247396,0.011420412030207048,0.4,0.0,1.0,0.0,1.0,0.4338153693678347,0.4785833845262464
qwen3_8b,drr_system,1623,0.3450400492914356,0.44337677764222383,0.011005598949034455,0.0,0.0,1.0,0.0,1.0,0.3234690753513281,0.36661102323154315
qwen3_8b,irr_system,1329,0.39021820917983446,0.46080798989787297,0.012640303747199209,0.0,0.0,1.0,0.0,1.0,0.365443213835324,0.4149932045243449
qwen3_8b,retention_system,1605,0.4550778816199377,0.4772186113647667,0.011911867509313952,0.2,0.0,1.0,0.0,1.0,0.4317306213016823,0.478425141938193
qwen3_8b,n_scored_probes,1623,14.038817005545287,2.106966093993828,0.05229959032365302,15.0,15.0,15.0,5.0,15.0,13.936309808510927,14.141324202579646
