intervention,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
none,irr_target,377,0.25782493368700266,0.4117277311396741,0.021205056988411058,0.0,0.0,0.4,0.0,1.0,0.21626302198971697,0.29938684538428834
none,retention_target,435,0.3751724137931034,0.44299946965298254,0.021240198827609327,0.0,0.0,1.0,0.0,1.0,0.33354162409098914,0.41680320349521766
none,drr_system,447,0.31901565995525727,0.426867742118027,0.020190151389024504,0.0,0.0,0.8,0.0,1.0,0.27944296323276924,0.3585883566777453
none,irr_system,377,0.25092838196286477,0.4088846240868716,0.021058629525505048,0.0,0.0,0.4,0.0,1.0,0.20965346809287488,0.29220329583285465
none,retention_system,435,0.3232183908045977,0.43007740770647823,0.020620633379322365,0.0,0.0,0.8,0.0,1.0,0.28280194938112585,0.3636348322280695
none,n_scored_probes,447,14.082774049217003,2.2579889859100213,0.10679921428138285,15.0,15.0,15.0,5.0,15.0,13.873447589225492,14.292100509208513
parameter_only,drr_target,100,0.602,0.4666623376422586,0.046666233764225865,1.0,0.0,1.0,0.0,1.0,0.5105341818221173,0.6934658181778827
parameter_only,irr_target,80,0.7125,0.4384596166616009,0.04902127541219194,1.0,0.15000000000000002,1.0,0.0,1.0,0.6164183001921039,0.8085816998078962
parameter_only,retention_target,100,0.6080000000000001,0.45118922546057905,0.045118922546057906,1.0,0.0,1.0,0.0,1.0,0.5195669118097266,0.6964330881902736
parameter_only,drr_system,100,0.616,0.465956169092278,0.0465956169092278,1.0,0.0,1.0,0.0,1.0,0.5246725908579135,0.7073274091420865
parameter_only,irr_system,80,0.7075,0.43857508053447675,0.049034184665626736,1.0,0.15000000000000002,1.0,0.0,1.0,0.6113929980553716,0.8036070019446284
parameter_only,retention_system,100,0.6240000000000001,0.44064232271271503,0.0440642322712715,1.0,0.15000000000000002,1.0,0.0,1.0,0.537634104748308,0.7103658952516922
parameter_only,n_scored_probes,100,14.0,2.010075630518424,0.20100756305184242,15.0,15.0,15.0,10.0,15.0,13.606025176418388,14.393974823581612
parameter_plus_comm,drr_target,100,0.588,0.4678081278093022,0.04678081278093022,1.0,0.0,1.0,0.0,1.0,0.49630960694937676,0.6796903930506232
parameter_plus_comm,irr_target,80,0.72,0.43001324677858854,0.04807694255111582,1.0,0.30000000000000004,1.0,0.0,1.0,0.625769192599813,0.8142308074001869
parameter_plus_comm,retention_target,100,0.6080000000000001,0.45118922546057905,0.045118922546057906,1.0,0.0,1.0,0.0,1.0,0.5195669118097266,0.6964330881902736
parameter_plus_comm,drr_system,100,0.616,0.465956169092278,0.0465956169092278,1.0,0.0,1.0,0.0,1.0,0.5246725908579135,0.7073274091420865
parameter_plus_comm,irr_system,80,0.7025,0.4328226461704317,0.04839104295192121,1.0,0.30000000000000004,1.0,0.0,1.0,0.6076535558142344,0.7973464441857656
parameter_plus_comm,retention_system,100,0.6240000000000001,0.44064232271271503,0.0440642322712715,1.0,0.15000000000000002,1.0,0.0,1.0,0.537634104748308,0.7103658952516922
parameter_plus_comm,n_scored_probes,100,14.0,2.010075630518424,0.20100756305184242,15.0,15.0,15.0,10.0,15.0,13.606025176418388,14.393974823581612
target_context,drr_target,225,0.17333333333333334,0.3300432872042264,0.022002885813615092,0.0,0.0,0.2,0.0,1.0,0.13020767713864775,0.21645898952801892
target_context,irr_target,195,0.16512820512820514,0.3355474968674007,0.024029055345344566,0.0,0.0,0.0,0.0,1.0,0.1180312566513298,0.21222515360508049
target_context,retention_target,225,0.3697777777777778,0.4150865276021681,0.027672435173477873,0.2,0.0,0.8,0.0,1.0,0.3155398048377612,0.42401575071779446
target_context,drr_system,225,0.248,0.37584191205497935,0.02505612747033196,0.0,0.0,0.4,0.0,1.0,0.19888999015814934,0.29711000984185065
target_context,irr_system,195,0.1958974358974359,0.36942919155192794,0.026455373897469842,0.0,0.0,0.2,0.0,1.0,0.144044903058395,0.2477499687364768
target_context,retention_system,225,0.31733333333333336,0.41844951905815353,0.027896634603876903,0.0,0.0,0.8,0.0,1.0,0.2626559295097346,0.3720107371569321
target_context,n_scored_probes,225,14.333333333333334,1.703462859673117,0.11356419064487447,15.0,15.0,15.0,10.0,15.0,14.11074751966938,14.555919146997288
target_context_comm,drr_target,285,0.10596491228070175,0.24234665290234075,0.014355376787537382,0.0,0.0,0.0,0.0,1.0,0.07782837377712848,0.13410145078427502
target_context_comm,irr_target,243,0.18847736625514402,0.35236940975612185,0.02260450817520961,0.0,0.0,0.2,0.0,1.0,0.14417253023173318,0.23278220227855487
target_context_comm,retention_target,285,0.4049122807017544,0.4339189367689332,0.025703139523349613,0.2,0.0,1.0,0.0,1.0,0.35453412723598915,0.45529043416751963
target_context_comm,drr_system,285,0.32000000000000006,0.41561086892211707,0.024618663179049725,0.0,0.0,0.8,0.0,1.0,0.2717474201690626,0.3682525798309375
target_context_comm,irr_system,243,0.2913580246913581,0.42954834944600184,0.02755553946473429,0.0,0.0,0.8,0.0,1.0,0.23734916734047887,0.3453668820422373
target_context_comm,retention_system,285,0.3768421052631579,0.4470842859956998,0.026482987507327787,0.0,0.0,1.0,0.0,1.0,0.32493544974879546,0.4287487607775204
