model_id,topology,intervention,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
qwen25coder_14b,independent,full_inference,retention_target,15,0.6666666666666666,0.46393759843118476,0.11978817282689619,1.0,0.1,1.0,0.0,1.0,0.4318818479259501,0.9014514854073832
qwen25coder_14b,independent,full_inference,drr_system,15,0.04,0.15491933384829665,0.039999999999999994,0.0,0.0,0.0,0.0,0.6,-0.03839999999999998,0.11839999999999998
qwen25coder_14b,independent,full_inference,irr_system,13,0.03076923076923077,0.11094003924504582,0.03076923076923077,0.0,0.0,0.0,0.0,0.4,-0.02953846153846154,0.09107692307692308
qwen25coder_14b,independent,full_inference,retention_system,15,0.6666666666666666,0.46393759843118476,0.11978817282689619,1.0,0.1,1.0,0.0,1.0,0.4318818479259501,0.9014514854073832
qwen25coder_14b,independent,full_inference,n_scored_probes,15,14.333333333333334,1.7593288763724917,0.4542567625794978,15.0,15.0,15.0,10.0,15.0,13.442990078677518,15.22367658798915
qwen25coder_14b,independent,none,drr_target,15,0.32,0.43293021542573273,0.11178210096092348,0.0,0.0,0.7,0.0,1.0,0.10090708211659,0.5390929178834101
qwen25coder_14b,independent,none,irr_target,13,0.24615384615384614,0.4095025124371128,0.1135755620017954,0.0,0.0,0.4,0.0,1.0,0.02354574463032716,0.4687619476773651
qwen25coder_14b,independent,none,retention_target,15,0.6666666666666666,0.4450789122113495,0.11491888098284463,1.0,0.2,1.0,0.0,1.0,0.44142565994029115,0.8919076733930421
qwen25coder_14b,independent,none,drr_system,15,0.32,0.43293021542573273,0.11178210096092348,0.0,0.0,0.7,0.0,1.0,0.10090708211659,0.5390929178834101
qwen25coder_14b,independent,none,irr_system,13,0.24615384615384614,0.4095025124371128,0.1135755620017954,0.0,0.0,0.4,0.0,1.0,0.02354574463032716,0.4687619476773651
qwen25coder_14b,independent,none,retention_system,15,0.6666666666666666,0.4450789122113495,0.11491888098284463,1.0,0.2,1.0,0.0,1.0,0.44142565994029115,0.8919076733930421
qwen25coder_14b,independent,none,n_scored_probes,15,14.333333333333334,1.7593288763724917,0.4542567625794978,15.0,15.0,15.0,10.0,15.0,13.442990078677518,15.22367658798915
qwen25coder_14b,independent,target_context_memory,drr_target,15,0.04,0.15491933384829665,0.039999999999999994,0.0,0.0,0.0,0.0,0.6,-0.03839999999999998,0.11839999999999998
qwen25coder_14b,independent,target_context_memory,irr_target,13,0.03076923076923077,0.11094003924504582,0.03076923076923077,0.0,0.0,0.0,0.0,0.4,-0.02953846153846154,0.09107692307692308
qwen25coder_14b,independent,target_context_memory,retention_target,15,0.6666666666666666,0.46393759843118476,0.11978817282689619,1.0,0.1,1.0,0.0,1.0,0.4318818479259501,0.9014514854073832
qwen25coder_14b,independent,target_context_memory,drr_system,15,0.04,0.15491933384829665,0.039999999999999994,0.0,0.0,0.0,0.0,0.6,-0.03839999999999998,0.11839999999999998
qwen25coder_14b,independent,target_context_memory,irr_system,13,0.03076923076923077,0.11094003924504582,0.03076923076923077,0.0,0.0,0.0,0.0,0.4,-0.02953846153846154,0.09107692307692308
qwen25coder_14b,independent,target_context_memory,retention_system,15,0.6666666666666666,0.46393759843118476,0.11978817282689619,1.0,0.1,1.0,0.0,1.0,0.4318818479259501,0.9014514854073832
qwen25coder_14b,independent,target_context_memory,n_scored_probes,15,14.333333333333334,1.7593288763724917,0.4542567625794978,15.0,15.0,15.0,10.0,15.0,13.442990078677518,15.22367658798915
