block,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
ablation_debate_rounds,retention_system,30,0.6,0.4982728791224399,0.09097176522946843,1.0,0.0,1.0,0.0,1.0,0.4216953401502419,0.778304659849758
ablation_debate_rounds,n_scored_probes,30,14.0,2.034190510862431,0.3713906763541037,15.0,15.0,15.0,10.0,15.0,13.272074274345957,14.727925725654043
ablation_n_agents,drr_target,90,0.13999999999999999,0.3221417093436931,0.033956717695533864,0.0,0.0,0.0,0.0,1.0,0.07344483331675361,0.20655516668324636
ablation_n_agents,irr_target,72,0.4055555555555556,0.44019486366479804,0.05187746219014441,0.1,0.0,1.0,0.0,1.0,0.3038757296628726,0.5072353814482387
ablation_n_agents,retention_target,90,0.5155555555555557,0.4654129762393127,0.04905883525046851,0.6,0.0,1.0,0.0,1.0,0.41940023846463736,0.611710872646474
ablation_n_agents,drr_system,90,0.25111111111111106,0.40840727756681566,0.043049907003324256,0.0,0.0,0.6,0.0,1.0,0.16673329338459553,0.3354889288376266
ablation_n_agents,irr_system,72,0.4583333333333333,0.4558693907342878,0.053724722920599134,0.5,0.0,1.0,0.0,1.0,0.35303287640895903,0.5636337902577077
ablation_n_agents,retention_system,90,0.5155555555555557,0.4730753107993379,0.04986651623059864,0.6,0.0,1.0,0.0,1.0,0.41781718374358234,0.613293927367529
ablation_n_agents,n_scored_probes,90,14.0,2.011204569461973,0.211999576001272,15.0,15.0,15.0,10.0,15.0,13.584480831037506,14.415519168962494
ablation_peer_evidence,drr_target,90,0.07333333333333333,0.24069188658877333,0.025371152531448636,0.0,0.0,0.0,0.0,1.0,0.023605874371694008,0.12306079229497266
ablation_peer_evidence,irr_target,72,0.1527777777777778,0.3139804525279242,0.03700295119041935,0.0,0.0,0.0,0.0,1.0,0.08025199344455586,0.22530356211099972
ablation_peer_evidence,retention_target,90,0.5377777777777778,0.45433684919268014,0.04789130894644341,0.6,0.0,1.0,0.0,1.0,0.4439108122427487,0.6316447433128068
ablation_peer_evidence,drr_system,90,0.13777777777777778,0.3279414094620411,0.034568059766198124,0.0,0.0,0.0,0.0,1.0,0.07002438063602945,0.2055311749195261
ablation_peer_evidence,irr_system,72,0.1888888888888889,0.3437799638384649,0.040514857277707435,0.0,0.0,0.1,0.0,1.0,0.10947976862458234,0.26829800915319546
ablation_peer_evidence,retention_system,90,0.5622222222222222,0.46726018971648187,0.049253548647548974,0.8,0.0,1.0,0.0,1.0,0.4656852668730262,0.6587591775714181
ablation_peer_evidence,n_scored_probes,90,14.0,2.011204569461973,0.211999576001272,15.0,15.0,15.0,10.0,15.0,13.584480831037506,14.415519168962494
ablation_target_position,drr_target,30,0.16,0.3499753685914047,0.06389646798289912,0.0,0.0,0.0,0.0,1.0,0.03476292275351772,0.2852370772464823
ablation_target_position,irr_target,24,0.4666666666666666,0.4887131875754377,0.09975816167740884,0.3,0.0,1.0,0.0,1.0,0.2711406697789453,0.662192663554388
ablation_target_position,retention_target,30,0.5733333333333334,0.48631856547579666,0.08878921614821564,1.0,0.0,1.0,0.0,1.0,0.3993064696828307,0.747360196983836
ablation_target_position,drr_system,30,0.4266666666666667,0.4689925617624502,0.08562593512647626,0.2,0.0,1.0,0.0,1.0,0.25883983381877324,0.5944934995145601
ablation_target_position,irr_system,24,0.6583333333333333,0.443225986785882,0.09047312569724754,0.9,0.0,1.0,0.0,1.0,0.48100600696672813,0.8356606596999385
ablation_target_position,retention_system,30,0.5733333333333334,0.48631856547579666,0.08878921614821564,1.0,0.0,1.0,0.0,1.0,0.3993064696828307,0.747360196983836
ablation_target_position,n_scored_probes,30,14.0,2.034190510862431,0.3713906763541037,15.0,15.0,15.0,10.0,15.0,13.272074274345957,14.727925725654043
coder_scale,drr_target,405,0.17333333333333334,0.34423109897995924,0.017104980828636606,0.0,0.0,0.0,0.0,1.0,0.1398075709092056,0.2068590957574611
coder_scale,irr_target,351,0.18404558404558402,0.3586906955289126,0.0191454929540358,0.0,0.0,0.0,0.0,1.0,0.14652041785567385,0.2215707502354942
coder_scale,retention_target,405,0.4854320987654321,0.4446715591329991,0.02209590741960452,0.4,0.0,1.0,0.0,1.0,0.44212412022300723,0.528740077307857
coder_scale,drr_system,405,0.2123456790123457,0.36741763947094547,0.01825712928865653,0.0,0.0,0.4,0.0,1.0,0.17656170560657888,0.2481296524181125
coder_scale,irr_system,351,0.20911680911680913,0.3711404286051544,0.019810010544990708,0.0,0.0,0.2,0.0,1.0,0.17028918844862734,0.24794442978499093
coder_scale,retention_system,405,0.37530864197530867,0.44296784413767876,0.02201124914085292,0.0,0.0,1.0,0.0,1.0,0.33216659365923695,0.4184506902913804
coder_scale,n_scored_probes,405,14.333333333333334,1.7017754270056893,0.08456190082718783,15.0,15.0,15.0,10.0,15.0,14.167592007712045,14.499074658954623
large_scale,drr_target,225,0.3671111111111111,0.4373041511750381,0.029153610078335876,0.0,0.0,1.0,0.0,1.0,0.3099700353575728,0.42425218686464944
large_scale,irr_target,195,0.22564102564102567,0.390557326281744,0.02796839105154288,0.0,0.0,0.30000000000000004,0.0,1.0,0.17082297918000164,0.28045907210204973
large_scale,retention_target,225,0.5422222222222223,0.4408235438646589,0.029388236257643925,0.6,0.0,1.0,0.0,1.0,0.4846212791572402,0.5998231652872044
large_scale,drr_system,225,0.3831111111111111,0.4357660650992267,0.029051071006615116,0.2,0.0,1.0,0.0,1.0,0.3261710119381455,0.44005121028407673
large_scale,irr_system,195,0.25435897435897437,0.40679660608293206,0.02913131003247477,0.0,0.0,0.4,0.0,1.0,0.19726160669532383,0.3114563420226249
large_scale,retention_system,225,0.4302222222222223,0.45647371662369995,0.030431581108246664,0.2,0.0,1.0,0.0,1.0,0.37057632325005885,0.4898681211943857
large_scale,n_scored_probes,225,14.333333333333334,1.7034628596731172,0.11356419064487448,15.0,15.0,15.0,10.0,15.0,14.11074751966938,14.555919146997288
main,drr_target,2025,0.19111111111111112,0.3489679872516707,0.007754844161148238,0.0,0.0,0.2,0.0,1.0,0.17591161655526058,0.20631060566696166
main,irr_target,1755,0.17663817663817663,0.35154177866209024,0.00839147655154003,0.0,0.0,0.0,0.0,1.0,0.16019088259715816,0.1930854706791951
main,retention_target,2025,0.34874074074074074,0.41972092700466646,0.00932713171121481,0.0,0.0,0.8,0.0,1.0,0.33045956258675974,0.36702191889472174
main,drr_system,2025,0.25274074074074077,0.3859484038050276,0.00857663119566728,0.0,0.0,0.4,0.0,1.0,0.2359305435972329,0.2695509378842486
main,irr_system,1755,0.1992022792022792,0.3696271374606684,0.008823183032806756,0.0,0.0,0.2,0.0,1.0,0.18190884045797795,0.21649571794658046
main,retention_system,2025,0.3075555555555555,0.4151612858644607,0.009225806352543572,0.0,0.0,0.8,0.0,1.0,0.28947297510457015,0.3256381360065409
main,n_scored_probes,2025,14.333333333333334,1.700092999083755,0.03777984442408344,15.0,15.0,15.0,10.0,15.0,14.259284838262131,14.407381828404537
parameter_unlearning,drr_target,200,0.595,0.46611297614705316,0.032959164623262475,1.0,0.0,1.0,0.0,1.0,0.5304000373384055,0.6595999626615945
parameter_unlearning,irr_target,160,0.7162499999999999,0.4329055701933189,0.03422419033961966,1.0,0.15000000000000002,1.0,0.0,1.0,0.6491705869343454,0.7833294130656545
parameter_unlearning,retention_target,200,0.608,0.4500541564285269,0.03182363459118026,1.0,0.0,1.0,0.0,1.0,0.5456256762012867,0.6703743237987133
parameter_unlearning,drr_system,200,0.616,0.46478395045764553,0.03286518831552735,1.0,0.0,1.0,0.0,1.0,0.5515842309015664,0.6804157690984336
parameter_unlearning,irr_system,160,0.7050000000000001,0.4343432836482158,0.03433785156812326,1.0,0.15000000000000002,1.0,0.0,1.0,0.6376978109264785,0.7723021890735217
parameter_unlearning,retention_system,200,0.6240000000000001,0.439533786811371,0.031079732121492273,1.0,0.15000000000000002,1.0,0.0,1.0,0.5630837250418752,0.684916274958125
parameter_unlearning,n_scored_probes,200,14.0,2.005018828468342,0.1417762410016672,15.0,15.0,15.0,10.0,15.0,13.722118567636732,14.277881432363268
stochastic_robustness,drr_target,500,0.152,0.32345826701601244,0.014465493458641636,0.0,0.0,0.0,0.0,1.0,0.12364763282106239,0.1803523671789376
stochastic_robustness,irr_target,400,0.3465,0.4274277555512029,0.021371387777560143,0.0,0.0,0.8,0.0,1.0,0.3046120799559821,0.38838792004401784
stochastic_robustness,retention_target,500,0.5544000000000001,0.4506960103967808,0.020155738328703075,0.8,0.0,1.0,0.0,1.0,0.514894752875742,0.5939052471242582
stochastic_robustness,drr_system,500,0.44199999999999995,0.46719647375614937,0.02089366148333893,0.1,0.0,1.0,0.0,1.0,0.4010484234926556,0.48295157650734427
stochastic_robustness,irr_system,400,0.571,0.45085160299127197,0.022542580149563597,0.8,0.0,1.0,0.0,1.0,0.5268165429068553,0.6151834570931446
stochastic_robustness,retention_system,500,0.586,0.48219188922676015,0.021564276850201684,1.0,0.0,1.0,0.0,1.0,0.5437340173736047,0.6282659826263952
stochastic_robustness,n_scored_probes,500,14.0,2.0020030050087656,0.08953229620716903,15.0,15.0,15.0,10.0,15.0,13.824516699433948,14.175483300566052
wmdp_appendix,drr_target,36,0.011111111111111112,0.06666666666666668,0.011111111111111113,0.0,0.0,0.0,0.0,0.4,-0.01066666666666667,0.03288888888888889
wmdp_appendix,drr_system,36,0.011111111111111112,0.06666666666666668,0.011111111111111113,0.0,0.0,0.0,0.0,0.4,-0.01066666666666667,0.03288888888888889
wmdp_appendix,n_scored_probes,36,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
