unit_id,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
rwku_156,irr_system,177,0.0011299435028248588,0.01503292056005658,0.001129943502824859,0.0,0.0,0.0,0.0,0.2,-0.001084745762711865,0.003344632768361583
rwku_156,retention_system,177,0.23163841807909605,0.3629333214082063,0.02727973894663523,0.0,0.0,0.4,0.0,1.0,0.178170129743691,0.2851067064145011
rwku_156,n_scored_probes,177,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
rwku_178,drr_target,177,0.42146892655367235,0.41804753208908313,0.031422376701114446,0.4,0.0,1.0,0.0,1.0,0.35988106821948807,0.48305678488785664
rwku_178,irr_target,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rwku_178,retention_target,177,0.4463276836158192,0.4116217440747902,0.0309393848973413,0.4,0.0,1.0,0.0,1.0,0.38568648921703025,0.5069688780146081
rwku_178,drr_system,177,0.45423728813559316,0.41968144056681894,0.03154518878285548,0.4,0.0,1.0,0.0,1.0,0.39240871812119643,0.51606585814999
rwku_178,irr_system,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rwku_178,retention_system,177,0.2858757062146893,0.37579226358770046,0.028246276227988715,0.0,0.0,0.4,0.0,1.0,0.23051300480783138,0.34123840762154717
rwku_178,n_scored_probes,177,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
rwku_200,drr_target,177,0.08700564971751412,0.2097091193549451,0.015762702659911566,0.0,0.0,0.0,0.0,1.0,0.05611075250408745,0.11790054693094079
rwku_200,irr_target,177,0.02937853107344633,0.09315284478217406,0.007001796577768517,0.0,0.0,0.0,0.0,0.4,0.015655009781020034,0.043102052365872626
rwku_200,retention_target,177,0.35593220338983056,0.40463417250563755,0.030414166855807393,0.2,0.0,0.6,0.0,1.0,0.2963204363524481,0.415543970427213
rwku_200,drr_system,177,0.12429378531073447,0.21827756416539099,0.016406746410704876,0.0,0.0,0.2,0.0,1.0,0.0921365623457529,0.15645100827571604
rwku_200,irr_system,177,0.011299435028248588,0.05525771901773209,0.004153424501617471,0.0,0.0,0.0,0.0,0.4,0.0031587230050783444,0.019440147051418832
rwku_200,retention_system,177,0.28361581920903955,0.3864353841355203,0.029046262156521122,0.0,0.0,0.6,0.0,1.0,0.22668514538225815,0.34054649303582096
rwku_200,n_scored_probes,177,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
